16:02:29.065185 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 1
16:02:29.065322 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 1
16:02:29.075334 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 2
16:02:29.075451 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 2
16:02:29.085482 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 3
16:02:29.085576 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 3
16:02:29.095625 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 4
16:02:29.095699 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 4
16:02:29.105771 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 5
16:02:29.105821 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 5
16:02:29.115914 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 6
16:02:29.115945 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 6
16:02:29.126058 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 7
16:02:29.126069 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 7
16:02:29.136213 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 8
16:02:29.136231 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 8
16:02:29.146369 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 9
16:02:29.146385 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 9
16:02:29.156524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 10
16:02:29.156539 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 10
16:02:29.166682 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 11
16:02:29.166697 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 11
16:02:29.176836 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 12
16:02:29.176853 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 12
16:02:29.186993 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 13
16:02:29.187007 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 13
16:02:29.197146 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 14
16:02:29.197161 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 14
16:02:29.207303 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 15
16:02:29.207320 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 15
16:02:29.217453 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 16
16:02:29.217476 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 16
16:02:29.227612 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 17
16:02:29.227628 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 17
16:02:29.237767 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 18
16:02:29.237782 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 18
16:02:29.247921 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 19
16:02:29.247936 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 19
16:02:29.258075 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 20
16:02:29.258090 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 20
16:02:29.268227 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 21
16:02:29.268245 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 21
16:02:29.278382 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 22
16:02:29.278400 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 22
16:02:29.288538 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 23
16:02:29.288553 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 23
