15:15:05.853582 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
15:15:05.854479 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:15:05.866480 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
15:15:05.866587 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:15:05.879021 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:15:05.879086 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
15:15:05.889604 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:15:05.889658 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
15:15:05.900448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:15:05.900550 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
15:15:05.911618 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
15:15:05.911680 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:15:05.922077 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
15:15:05.922079 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:15:05.932452 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
15:15:05.932577 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:15:05.945109 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:15:05.945167 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
15:15:05.957748 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
15:15:05.957848 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:15:05.969814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:15:05.969858 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
15:15:05.981777 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:15:05.981899 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
15:15:05.994430 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
15:15:05.994511 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:15:06.007089 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
15:15:06.007169 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:15:06.018293 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
15:15:06.018330 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:15:06.028827 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
15:15:06.028978 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:15:06.039329 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:15:06.039355 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
15:15:06.049648 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
