05:41:36.257906 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
05:41:36.265696 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
05:41:36.270507 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
05:41:36.275699 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
05:41:36.282010 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
05:41:36.288170 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
05:41:36.292341 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
05:41:36.299702 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
05:41:36.304869 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
05:41:36.310177 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
05:41:36.317083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
05:41:36.322546 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
05:41:36.327542 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
05:41:36.333468 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
05:41:36.339031 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
05:41:36.344016 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
05:41:36.351677 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
05:41:36.356886 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
05:41:36.363757 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
05:41:36.369164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
05:41:36.374083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
05:41:36.380212 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
05:41:36.386736 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
05:41:36.391911 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
05:41:36.397735 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
05:41:36.402749 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
05:41:36.408738 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
05:41:36.414927 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
05:41:36.419651 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
05:41:36.425313 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
05:41:36.431207 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
05:41:36.435729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
05:41:36.443532 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
05:41:36.446292 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
05:41:36.456227 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
05:41:36.456976 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
05:41:36.466749 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
05:41:36.467456 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
05:41:36.477056 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
05:41:36.477862 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
05:41:36.489043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
05:41:36.489171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
05:41:36.500547 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
05:41:36.500592 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
05:41:36.513428 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
05:41:36.513482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
05:41:36.524391 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
05:41:36.524488 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
05:41:36.536844 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
05:41:36.536914 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
05:41:36.548489 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
05:41:36.548572 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
05:41:36.561359 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
05:41:36.561469 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
05:41:36.571901 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
05:41:36.572089 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
05:41:36.583540 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
05:41:36.583634 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
05:41:36.594097 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
05:41:36.594132 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
05:41:36.606617 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
05:41:36.606690 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
05:41:36.619422 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
05:41:36.619471 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
05:41:36.629728 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
05:41:36.629772 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
05:41:36.642564 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
05:41:36.642674 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
05:41:36.654950 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
05:41:36.655046 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
05:41:36.667761 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
05:41:36.667843 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
05:41:36.678313 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
05:41:36.678358 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
05:41:36.688651 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
05:41:36.688751 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
05:41:36.699307 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
05:41:36.699410 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
05:41:36.712209 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
05:41:36.712309 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
05:41:36.724966 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
05:41:36.725070 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
05:41:36.737440 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
05:41:36.737539 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
05:41:36.747774 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
05:41:36.747834 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
05:41:36.758291 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
05:41:36.758332 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
05:41:36.770775 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
05:41:36.770989 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
05:41:36.781304 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
05:41:36.781331 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
05:41:36.792355 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
05:41:36.792442 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
05:41:36.802949 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
05:41:36.803016 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
05:41:36.814948 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
05:41:36.815108 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
05:41:36.826422 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
05:41:36.826629 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
05:41:36.838274 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
05:41:36.839409 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
05:41:36.849847 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
05:41:36.852249 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
05:41:36.862372 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
05:41:36.862608 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
05:41:36.873364 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
05:41:36.873507 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
05:41:36.883791 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
05:41:36.883842 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
05:41:36.894095 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
05:41:36.894126 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
05:41:36.906732 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
05:41:36.906838 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
05:41:36.917935 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
05:41:36.918142 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
05:41:36.928205 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
05:41:36.928532 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
05:41:36.940730 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
05:41:36.940774 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
05:41:36.953123 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
05:41:36.953204 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
05:41:36.963396 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
05:41:36.965165 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
05:41:36.975334 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
05:41:36.975488 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
05:41:36.986025 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 64
05:41:36.986081 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 64
05:41:36.997428 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 65
05:41:36.997507 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 65
05:41:37.008430 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 66
05:41:37.008476 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 66
05:41:37.020898 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 67
05:41:37.020944 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 67
05:41:37.031481 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 68
05:41:37.031624 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 68
05:41:37.041879 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 69
05:41:37.042077 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 69
05:41:37.052496 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
05:41:37.052587 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 70
05:41:37.065146 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 71
05:41:37.065209 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
05:41:37.076588 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
05:41:37.076780 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 72
05:41:37.089026 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 73
05:41:37.089139 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 73
05:41:37.101662 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 74
05:41:37.101756 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 74
05:41:37.113217 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 75
05:41:37.113358 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 75
05:41:37.123962 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 76
05:41:37.124116 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 76
05:41:37.136200 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 77
05:41:37.136292 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 77
05:41:37.147225 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 78
05:41:37.147411 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 78
05:41:37.157547 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 79
05:41:37.157774 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 79
05:41:37.168544 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 80
05:41:37.169118 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 80
05:41:37.179300 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 81
05:41:37.179382 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 81
05:41:37.191352 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 82
05:41:37.191406 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 82
05:41:37.203923 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 83
05:41:37.204013 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 83
05:41:37.216601 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 84
05:41:37.216878 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 84
05:41:37.227514 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 85
05:41:37.227653 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 85
05:41:37.240462 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 86
05:41:37.240549 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 86
05:41:37.250946 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 87
05:41:37.251016 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 87
05:41:37.262138 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 88
05:41:37.262233 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 88
05:41:37.272817 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 89
05:41:37.272901 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 89
05:41:37.284849 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 90
05:41:37.284927 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 90
05:41:37.295198 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 91
05:41:37.295280 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 91
05:41:37.306368 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 92
05:41:37.306484 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 92
05:41:37.318163 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 93
05:41:37.318241 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 93
05:41:37.328625 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 94
05:41:37.328694 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 94
05:41:37.338872 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 95
05:41:37.338953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 95
05:41:37.350959 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 96
05:41:37.351021 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 96
05:41:37.363547 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 97
05:41:37.363643 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 97
05:41:37.374957 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 98
05:41:37.375033 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 98
05:41:37.387226 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 99
05:41:37.387326 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 99
05:41:37.399144 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 100
05:41:37.399238 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 100
05:41:37.410151 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 101
05:41:37.410219 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 101
05:41:37.421475 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 102
05:41:37.421530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 102
05:41:37.431841 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 103
05:41:37.431947 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 103
05:41:37.442886 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 104
05:41:37.442945 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 104
05:41:37.453548 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 105
05:41:37.453600 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 105
05:41:37.466168 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 106
05:41:37.466237 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 106
05:41:37.476642 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 107
05:41:37.476694 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 107
05:41:37.488883 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 108
05:41:37.489001 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 108
05:41:37.499310 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 109
05:41:37.499549 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 109
05:41:37.510963 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 110
