1455946896.23,received , 1 , 0.00139403343201, wifi
1455946896.25,received , 2 , -0.00023889541626, wifi
1455946896.26,received , 3 , -0.000226020812988, wifi
1455946896.27,received , 4 , -0.000324964523315, wifi
1455946896.28,received , 5 , 0.000150918960571, wifi
1455946896.29,received , 6 , -0.000226020812988, wifi
1455946896.3,received , 7 , 0.000185012817383, wifi
1455946896.31,received , 8 , -0.000262975692749, wifi
1455946896.33,received , 9 , -0.00026798248291, wifi
1455946896.34,received , 10 , 2.28881835938e-05, wifi
1455946896.35,received , 11 , -0.000186920166016, wifi
1455946896.36,received , 12 , -0.000298976898193, wifi
1455946896.37,received , 13 , -0.000286817550659, wifi
1455946896.38,received , 14 , 3.79085540771e-05, wifi
1455946896.4,received , 15 , 0.000648021697998, wifi
1455946896.4,received , 1 , 0.160823106766, lte
1455946896.41,received , 16 , -0.000233173370361, wifi
1455946896.42,received , 2 , 0.164939880371, lte
1455946896.42,received , 17 , -0.000182151794434, wifi
1455946896.43,received , 3 , 0.167430877686, lte
1455946896.43,received , 18 , -0.000339031219482, wifi
1455946896.44,received , 4 , 0.164876937866, lte
1455946896.44,received , 19 , 2.69412994385e-05, wifi
1455946896.45,received , 5 , 0.164366006851, lte
1455946896.45,received , 20 , -0.000123977661133, wifi
1455946896.46,received , 6 , 0.161067008972, lte
1455946896.47,received , 21 , 0.00342893600464, wifi
1455946896.47,received , 7 , 0.160051822662, lte
1455946896.48,received , 22 , -0.000339031219482, wifi
1455946896.48,received , 8 , 0.158661842346, lte
1455946896.49,received , 9 , 0.155780076981, lte
1455946896.49,received , 23 , 0.000386953353882, wifi
1455946896.5,received , 10 , 0.152400970459, lte
1455946896.51,received , 11 , 0.150397062302, lte
1455946896.52,received , 12 , 0.147639989853, lte
1455946896.52,received , 24 , 0.0155589580536, wifi
1455946896.52,received , 25 , 0.00453090667725, wifi
1455946896.52,received , 13 , 0.144878864288, lte
1455946896.53,received , 26 , 0.00714612007141, wifi
1455946896.53,received , 14 , 0.141690015793, lte
1455946896.54,received , 27 , 0.00129103660583, wifi
1455946896.54,received , 15 , 0.140384912491, lte
1455946896.55,received , 16 , 0.138860940933, lte
1455946896.56,received , 28 , 0.00751399993896, wifi
1455946896.56,received , 29 , -0.000377178192139, wifi
1455946896.56,received , 17 , 0.137218952179, lte
1455946896.57,received , 18 , 0.134577035904, lte
1455946896.58,received , 19 , 0.133185863495, lte
1455946896.58,received , 20 , 0.130746841431, lte
1455946896.59,received , 30 , 0.0210909843445, wifi
1455946896.59,received , 31 , 0.00891304016113, wifi
1455946896.59,received , 21 , 0.127373933792, lte
1455946896.59,received , 32 , -0.000108003616333, wifi
1455946896.6,received , 22 , 0.123901128769, lte
1455946896.61,received , 33 , 0.0014169216156, wifi
1455946896.61,received , 23 , 0.120032072067, lte
1455946896.62,received , 24 , 0.117050886154, lte
1455946896.62,received , 34 , -0.000359058380127, wifi
1455946896.63,received , 25 , 0.112665891647, lte
1455946896.63,received , 35 , 4.05311584473e-06, wifi
1455946896.63,received , 26 , 0.109107971191, lte
1455946896.64,received , 27 , 0.104197978973, lte
1455946896.64,received , 36 , -0.00019907951355, wifi
1455946896.65,received , 28 , 0.102881908417, lte
1455946896.65,received , 37 , -0.000277042388916, wifi
1455946896.66,received , 29 , 0.0990490913391, lte
1455946896.66,received , 38 , -0.000363111495972, wifi
1455946896.67,received , 30 , 0.0963969230652, lte
1455946896.67,received , 31 , 0.0918190479279, lte
1455946896.67,received , 39 , -0.000191926956177, wifi
1455946896.68,received , 32 , 0.0872271060944, lte
1455946896.69,received , 40 , -0.000266075134277, wifi
1455946896.69,received , 33 , 0.0848219394684, lte
1455946896.7,received , 34 , 0.0799911022186, lte
1455946896.7,received , 41 , -0.000365972518921, wifi
1455946896.71,received , 35 , 0.0766260623932, lte
1455946896.71,received , 42 , -0.000139951705933, wifi
1455946896.72,received , 36 , 0.0718009471893, lte
1455946896.72,received , 43 , -0.00028395652771, wifi
1455946896.72,received , 37 , 0.0692749023438, lte
1455946896.73,received , 38 , 0.0669889450073, lte
1455946896.73,received , 44 , -0.000337839126587, wifi
1455946896.74,received , 39 , 0.0621860027313, lte
1455946896.74,received , 40 , 0.0554120540619, lte
1455946896.75,received , 45 , 9.70363616943e-05, wifi
1455946896.75,received , 41 , 0.0485808849335, lte
1455946896.76,received , 42 , 0.0419840812683, lte
1455946896.76,received , 46 , 0.000112056732178, wifi
1455946896.76,received , 43 , 0.0376601219177, lte
1455946896.77,received , 44 , 0.0332589149475, lte
1455946896.77,received , 47 , -0.000324010848999, wifi
1455946896.77,received , 45 , 0.026762008667, lte
1455946896.78,received , 48 , 9.08374786377e-05, wifi
1455946896.78,received , 46 , 0.0222218036652, lte
1455946896.79,received , 47 , 0.0171129703522, lte
1455946896.79,received , 49 , -0.000284910202026, wifi
1455946896.79,received , 48 , 0.0144848823547, lte
1455946896.8,received , 50 , 1.00135803223e-05, wifi
1455946896.81,received , 49 , 0.0204679965973, lte
1455946896.81,received , 51 , -0.000211000442505, wifi
1455946896.82,received , 50 , 0.0219678878784, lte
1455946896.83,received , 52 , 5.69820404053e-05, wifi
1455946896.84,received , 51 , 0.0212891101837, lte
1455946896.84,received , 53 , -0.000343084335327, wifi
1455946896.84,received , 52 , 0.0157260894775, lte
1455946896.85,received , 54 , -0.000272989273071, wifi
1455946896.86,received , 55 , -0.00019097328186, wifi
1455946896.86,received , 53 , 0.0212659835815, lte
1455946896.87,received , 56 , -0.0002601146698, wifi
1455946896.87,received , 54 , 0.0210359096527, lte
1455946896.88,received , 55 , 0.0186901092529, lte
1455946896.88,received , 57 , -0.000319004058838, wifi
1455946896.89,received , 56 , 0.0185010433197, lte
1455946896.89,received , 58 , -0.000266075134277, wifi
1455946896.9,received , 57 , 0.0189051628113, lte
1455946896.9,received , 59 , -0.000124931335449, wifi
1455946896.91,received , 58 , 0.0184268951416, lte
1455946896.92,received , 60 , -5.60283660889e-05, wifi
1455946896.92,received , 59 , 0.0190958976746, lte
1455946896.93,received , 61 , 0.000265121459961, wifi
1455946896.94,received , 60 , 0.0199279785156, lte
1455946896.94,received , 62 , -5.48362731934e-05, wifi
1455946896.95,received , 61 , 0.0203061103821, lte
1455946896.95,received , 63 , -0.000247001647949, wifi
1455946896.96,received , 62 , 0.0162091255188, lte
1455946896.96,received , 64 , -0.000293970108032, wifi
1455946896.96,received , 63 , 0.0123119354248, lte
1455946896.97,received , 65 , -0.000128984451294, wifi
1455946896.98,received , 64 , 0.019514799118, lte
1455946896.98,received , 66 , 0.000510931015015, wifi
1455946897.0,received , 65 , 0.0251169204712, lte
1455946897.0,received , 67 , 0.00221300125122, wifi
1455946897.01,received , 66 , 0.0232181549072, lte
1455946897.01,received , 68 , 0.000295162200928, wifi
1455946897.01,received , 67 , 0.0145499706268, lte
1455946897.02,received , 69 , 0.00152587890625, wifi
1455946897.02,received , 68 , 0.0129201412201, lte
1455946897.03,received , 70 , 0.000977993011475, wifi
1455946897.04,received , 69 , 0.0184750556946, lte
1455946897.04,received , 71 , -0.000180006027222, wifi
1455946897.05,received , 70 , 0.0241250991821, lte
1455946897.05,received , 72 , -9.20295715332e-05, wifi
1455946897.06,received , 73 , -0.000460147857666, wifi
1455946897.08,received , 71 , 0.0363600254059, lte
1455946897.08,received , 74 , 0.000414133071899, wifi
1455946897.08,received , 72 , 0.0290677547455, lte
