15:05:01.268646 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
15:05:01.268662 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
15:05:01.278801 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
15:05:01.278817 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
15:05:01.288958 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
15:05:01.288974 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
15:05:01.299112 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
15:05:01.299127 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
15:05:01.309266 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
15:05:01.309284 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
15:05:01.319422 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
15:05:01.319437 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
15:05:01.329579 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
15:05:01.329594 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
15:05:01.339736 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
15:05:01.339752 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
15:05:01.349891 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
15:05:01.349906 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
15:05:01.360045 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
15:05:01.360060 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
15:05:01.370198 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
