18:46:31.592117 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 36
18:46:31.594582 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 36
18:46:31.602415 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 37
18:46:31.604838 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 37
18:46:31.614132 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 38
18:46:31.617645 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 38
18:46:31.626805 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 39
18:46:31.630581 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 39
18:46:31.638005 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 40
18:46:31.641262 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 40
18:46:31.648287 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 41
18:46:31.652073 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 41
18:46:31.658858 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 42
18:46:31.662730 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 42
18:46:31.669199 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 43
18:46:31.673236 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 43
18:46:31.681070 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 44
18:46:31.683583 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 44
18:46:31.693725 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 45
18:46:31.693966 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 45
18:46:31.706097 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 46
18:46:31.706230 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 46
18:46:31.716464 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 47
18:46:31.716499 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 47
18:46:31.729131 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 48
18:46:31.729254 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 48
18:46:31.739626 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 49
18:46:31.739731 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 49
18:46:31.751837 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 50
18:46:31.751929 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 50
18:46:31.763678 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 51
18:46:31.763813 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 51
18:46:31.774079 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 52
18:46:31.774134 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 52
18:46:31.784891 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 53
18:46:31.784953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 992 , 53
18:46:31.796449 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 993 , 54
