18:05:20.990349 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
18:05:20.990535 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
18:05:21.000502 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
18:05:21.000760 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
18:05:21.010899 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
18:05:21.011037 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
18:05:21.021448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
18:05:21.021562 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
18:05:21.034007 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
18:05:21.034100 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
18:05:21.046580 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
18:05:21.046647 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
18:05:21.057143 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
18:05:21.057239 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
18:05:21.067742 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
18:05:21.067840 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
18:05:21.079348 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
18:05:21.079472 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
18:05:21.089845 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
18:05:21.089953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
18:05:21.100742 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
18:05:21.100868 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
18:05:21.113642 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
18:05:21.113748 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
18:05:21.124047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
18:05:21.124190 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
18:05:21.136833 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
18:05:21.136926 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
18:05:21.147450 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
18:05:21.147555 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
18:05:21.157955 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
18:05:21.158076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
18:05:21.168677 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
18:05:21.168784 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
18:05:21.181479 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
18:05:21.181557 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
18:05:21.191922 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
18:05:21.192059 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
18:05:21.204715 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
18:05:21.204798 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
18:05:21.215255 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
18:05:21.215364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
18:05:21.228156 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
18:05:21.228262 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
18:05:21.240967 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
18:05:21.241049 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
18:05:21.251641 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
18:05:21.251775 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
18:05:21.264443 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
18:05:21.264561 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
18:05:21.275328 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
18:05:21.275439 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
18:05:21.288241 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
18:05:21.288310 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
18:05:21.299262 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
18:05:21.299366 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
18:05:21.309772 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
18:05:21.309898 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
18:05:21.320289 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
18:05:21.320397 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
18:05:21.330929 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
18:05:21.330983 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
18:05:21.341855 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
18:05:21.341979 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
18:05:21.352551 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
18:05:21.352662 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
18:05:21.363081 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
18:05:21.363193 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
18:05:21.375961 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
18:05:21.376071 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
18:05:21.386246 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
