12:08:42.309001 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
12:08:42.309021 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
12:08:42.319161 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
12:08:42.319180 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
12:08:42.329318 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
12:08:42.329335 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
12:08:42.339474 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
12:08:42.339492 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
12:08:42.349630 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
12:08:42.349649 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
12:08:42.359786 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
12:08:42.359804 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
12:08:42.369943 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
12:08:42.369961 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
12:08:42.380100 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
12:08:42.380118 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
12:08:42.390256 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
12:08:42.390274 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
12:08:42.400413 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
12:08:42.400430 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
12:08:42.410570 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
12:08:42.410587 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
12:08:42.420726 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
12:08:42.420743 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
12:08:42.430882 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
12:08:42.430902 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
12:08:42.441040 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
12:08:42.441057 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
12:08:42.451197 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
12:08:42.451214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
12:08:42.461353 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
12:08:42.461371 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
12:08:42.471511 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
12:08:42.471531 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
12:08:42.481674 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
12:08:42.481693 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
12:08:42.491818 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
12:08:42.491837 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
12:08:42.501978 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
