10:40:25.008028 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 66
10:40:25.018166 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 67
10:40:25.028328 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 68
10:40:25.038484 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 69
10:40:25.048637 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 70
10:40:25.058791 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 71
10:40:25.068947 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 72
10:40:25.079101 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 73
10:40:25.089262 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 74
10:40:25.099418 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 75
10:40:25.109572 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 76
10:40:25.119726 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 77
10:40:25.129880 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 78
10:40:25.140037 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 79
10:40:25.150196 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 80
10:40:25.160349 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 81
10:40:25.170505 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 82
10:40:25.180658 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 83
10:40:25.190811 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 84
10:40:25.200965 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 85
10:40:25.211117 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 86
10:40:25.221270 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 87
10:40:25.231436 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 88
10:40:25.241592 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 89
10:40:25.251759 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 90
10:40:25.261913 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 91
10:40:25.272050 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 92
10:40:25.282208 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 93
10:40:25.292365 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 94
10:40:25.302517 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 95
10:40:25.312669 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 96
10:40:25.322824 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 97
