15:58:16.190737 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
15:58:16.201351 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
15:58:16.212390 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
15:58:16.222801 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
15:58:16.233493 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
15:58:16.243753 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
15:58:16.256614 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
15:58:16.267914 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
15:58:16.278384 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
15:58:16.291076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
15:58:16.301855 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
15:58:16.312599 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
15:58:16.323368 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
15:58:16.334159 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
15:58:16.344746 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
15:58:16.356828 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
15:58:16.367245 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
15:58:16.378202 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
15:58:16.389075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
15:58:16.400732 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
15:58:16.410950 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
15:58:16.423645 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
15:58:16.435219 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
15:58:16.445860 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
15:58:16.456308 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
15:58:16.467729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
15:58:16.480392 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
15:58:16.493035 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
15:58:16.505601 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
