11:43:09.239836 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
11:43:09.242645 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
11:43:09.250205 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
11:43:09.253026 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
11:43:09.260621 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
11:43:09.263430 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
11:43:09.270959 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
11:43:09.273834 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
11:43:09.281315 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
11:43:09.284151 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
11:43:09.291653 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
11:43:09.294451 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
11:43:09.302022 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
11:43:09.304793 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
11:43:09.312398 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
11:43:09.315178 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
11:43:09.322669 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
11:43:09.325431 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
11:43:09.332817 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
11:43:09.335588 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
11:43:09.342937 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
11:43:09.345720 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
11:43:09.353068 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
11:43:09.355859 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
11:43:09.363199 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
11:43:09.365991 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
11:43:09.373321 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
11:43:09.376131 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
11:43:09.383449 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
11:43:09.386267 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
11:43:09.393571 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
11:43:09.396401 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
11:43:09.403704 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
11:43:09.406539 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
11:43:09.413834 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
11:43:09.416674 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
11:43:09.424145 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
11:43:09.427017 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
11:43:09.435151 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
11:43:09.437286 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
11:43:09.445525 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
11:43:09.447708 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
11:43:09.455889 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
11:43:09.458122 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
11:43:09.466295 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
11:43:09.468440 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
11:43:09.476613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
11:43:09.478836 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
11:43:09.486956 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
11:43:09.489153 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
11:43:09.497318 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 60
11:43:09.499503 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 60
11:43:09.507663 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 61
11:43:09.509801 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 61
11:43:09.518024 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 62
11:43:09.520083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 62
11:43:09.528369 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 63
11:43:09.530468 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 63
