1455536501.3,received , 1 , 0.00111603736877, wifi
1455536501.31,received , 2 , 0.00101494789124, wifi
1455536501.32,received , 3 , 0.00196075439453, wifi
1455536501.33,received , 4 , 0.000911951065063, wifi
1455536501.34,received , 5 , 0.00192880630493, wifi
1455536501.35,received , 6 , 0.00139188766479, wifi
1455536501.36,received , 7 , 0.000905752182007, wifi
1455536501.37,received , 8 , 0.000916957855225, wifi
1455536501.38,received , 9 , 0.000917911529541, wifi
1455536501.39,received , 10 , 0.000926971435547, wifi
1455536501.42,received , 11 , 0.0257427692413, wifi
1455536501.42,received , 12 , 0.0159139633179, wifi
1455536501.42,received , 13 , 0.00607085227966, wifi
1455536501.43,received , 14 , 0.00126504898071, wifi
1455536501.44,received , 15 , 0.0010039806366, wifi
1455536501.45,received , 16 , 0.000893831253052, wifi
1455536501.45,received , 1 , 0.153985023499, lte
1455536501.46,received , 17 , 0.000996828079224, wifi
1455536501.46,received , 2 , 0.151739835739, lte
1455536501.47,received , 3 , 0.149304866791, lte
1455536501.47,received , 18 , 0.00103187561035, wifi
1455536501.48,received , 4 , 0.147209882736, lte
1455536501.48,received , 19 , 0.00103878974915, wifi
1455536501.48,received , 5 , 0.145148992538, lte
1455536501.49,received , 20 , 0.00105690956116, wifi
1455536501.49,received , 6 , 0.141866922379, lte
1455536501.5,received , 7 , 0.137939929962, lte
1455536501.5,received , 21 , 0.00318312644958, wifi
1455536501.5,received , 8 , 0.13267493248, lte
1455536501.51,received , 9 , 0.127555847168, lte
1455536501.51,received , 22 , 0.00105977058411, wifi
1455536501.51,received , 10 , 0.121450901031, lte
1455536501.52,received , 11 , 0.116303920746, lte
1455536501.52,received , 23 , 0.00105476379395, wifi
1455536501.52,received , 12 , 0.111124753952, lte
1455536501.53,received , 13 , 0.104862928391, lte
1455536501.53,received , 14 , 0.0996417999268, lte
1455536501.53,received , 24 , 0.000982761383057, wifi
1455536501.53,received , 15 , 0.0933878421783, lte
1455536501.54,received , 16 , 0.087094783783, lte
1455536501.54,received , 25 , 0.000994920730591, wifi
1455536501.54,received , 17 , 0.0816268920898, lte
1455536501.55,received , 18 , 0.0753569602966, lte
1455536501.55,received , 26 , 0.0010290145874, wifi
1455536501.56,received , 19 , 0.0779538154602, lte
1455536501.56,received , 27 , 0.000976085662842, wifi
1455536501.56,received , 20 , 0.0696568489075, lte
1455536501.56,received , 21 , 0.0603127479553, lte
1455536501.57,received , 22 , 0.0539216995239, lte
1455536501.57,received , 28 , 0.00105977058411, wifi
1455536501.57,received , 23 , 0.0485138893127, lte
1455536501.58,received , 24 , 0.042252779007, lte
1455536501.58,received , 25 , 0.0369658470154, lte
1455536501.58,received , 29 , 0.0010347366333, wifi
1455536501.59,received , 26 , 0.0306639671326, lte
1455536501.59,received , 27 , 0.0243709087372, lte
1455536501.59,received , 30 , 0.0010187625885, wifi
1455536501.59,received , 28 , 0.0178687572479, lte
1455536501.6,received , 29 , 0.014664888382, lte
1455536501.6,received , 31 , 0.00167775154114, wifi
1455536501.62,received , 32 , 0.00224590301514, wifi
1455536501.62,received , 30 , 0.0222778320312, lte
1455536501.62,received , 33 , 0.00103878974915, wifi
1455536501.63,received , 34 , 0.00104403495789, wifi
