11:41:41.307645 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 1
11:41:41.312130 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 1
11:41:41.317976 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 2
11:41:41.322347 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 2
11:41:41.328171 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 3
11:41:41.332485 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 3
11:41:41.338323 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 4
11:41:41.342621 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 4
11:41:41.348455 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 5
11:41:41.352754 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 5
11:41:41.358585 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 6
11:41:41.362889 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 6
11:41:41.368717 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 7
11:41:41.373018 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 7
11:41:41.378847 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 8
11:41:41.383151 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 8
11:41:41.388978 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 9
11:41:41.393282 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 9
11:41:41.399111 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 10
11:41:41.403414 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 10
11:41:41.409238 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 11
11:41:41.413559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 11
11:41:41.419524 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 12
11:41:41.423859 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 12
11:41:41.429890 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 13
11:41:41.434164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 13
11:41:41.440173 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 14
11:41:41.444403 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 14
11:41:41.450384 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 15
11:41:41.454714 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 15
11:41:41.460664 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 16
11:41:41.465068 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 16
11:41:41.471004 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 17
11:41:41.475405 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 17
11:41:41.481375 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 18
11:41:41.485762 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 18
11:41:41.491763 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 19
11:41:41.496131 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 19
11:41:41.502155 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 20
11:41:41.506511 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 20
11:41:41.512604 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 21
11:41:41.516878 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 21
11:41:41.523002 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 22
11:41:41.527216 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 22
11:41:41.533311 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 23
11:41:41.537533 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 23
11:41:41.543595 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 24
11:41:41.547849 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 24
11:41:41.553960 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 25
11:41:41.558164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 25
11:41:41.564258 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 26
11:41:41.568475 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 26
11:41:41.574624 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 27
11:41:41.578830 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 27
11:41:41.585006 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 28
11:41:41.589156 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 28
11:41:41.595332 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 29
11:41:41.599435 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 29
11:41:41.605708 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 30
11:41:41.609738 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 30
11:41:41.616041 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 31
11:41:41.619953 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 31
11:41:41.626411 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 32
11:41:41.630300 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 32
11:41:41.636802 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 33
11:41:41.640652 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 33
11:41:41.647216 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 34
11:41:41.650996 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 34
11:41:41.657574 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 35
11:41:41.661358 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 35
11:41:41.667996 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 36
11:41:41.671641 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
11:41:41.678437 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 37
11:41:41.681901 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
11:41:41.688857 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 38
11:41:41.692241 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
11:41:41.699289 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 39
11:41:41.702593 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
11:41:41.709642 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 40
11:41:41.712949 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
11:41:41.720051 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 41
11:41:41.723328 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
11:41:41.730452 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 42
11:41:41.733689 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
11:41:41.740805 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 43
11:41:41.744053 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
11:41:41.751215 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 44
11:41:41.754408 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
11:41:41.761581 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 45
11:41:41.764759 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
11:41:41.771984 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 46
11:41:41.775131 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
11:41:41.782478 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 47
11:41:41.785500 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
11:41:41.792901 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 48
