18:04:13.663668 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
18:04:13.665471 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
18:04:13.674054 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
18:04:13.675927 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
18:04:13.684452 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
18:04:13.686241 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
18:04:13.694816 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
18:04:13.696484 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
18:04:13.705135 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
18:04:13.706813 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
18:04:13.715512 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
18:04:13.717189 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
18:04:13.725899 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
18:04:13.727578 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
18:04:13.736295 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
18:04:13.738001 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
18:04:13.746523 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
18:04:13.748207 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
18:04:13.756684 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
18:04:13.758345 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
18:04:13.767041 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
18:04:13.768734 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
18:04:13.777446 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
18:04:13.779126 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
18:04:13.787852 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
18:04:13.789430 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
