13:47:05.855314 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
13:47:05.855332 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
13:47:05.865470 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
13:47:05.865488 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
13:47:05.875627 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
13:47:05.875645 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
13:47:05.885784 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
13:47:05.885803 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
13:47:05.895940 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
13:47:05.895960 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
13:47:05.906098 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
13:47:05.906117 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
13:47:05.916256 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
13:47:05.916274 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
13:47:05.926413 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
13:47:05.926431 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
13:47:05.936574 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
13:47:05.936590 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
13:47:05.946735 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
13:47:05.946752 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
13:47:05.956893 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
13:47:05.956910 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
13:47:05.967051 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
13:47:05.967069 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
13:47:05.977208 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
13:47:05.977226 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
13:47:05.987365 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
13:47:05.987382 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
13:47:05.997521 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
13:47:05.997541 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
13:47:06.007681 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
13:47:06.007697 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
13:47:06.017843 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
13:47:06.017859 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
13:47:06.028006 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
13:47:06.028030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
13:47:06.038168 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
13:47:06.038190 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
13:47:06.048327 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
13:47:06.048347 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
13:47:06.058486 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
13:47:06.058506 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
13:47:06.068644 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
13:47:06.068663 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
13:47:06.078802 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
13:47:06.078823 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
13:47:06.088962 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
13:47:06.088978 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
13:47:06.099118 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
13:47:06.099139 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
13:47:06.109278 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
13:47:06.109296 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
13:47:06.119436 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
13:47:06.119456 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
13:47:06.129594 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
13:47:06.129614 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
13:47:06.139752 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
13:47:06.139770 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
13:47:06.149908 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
13:47:06.149927 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
13:47:06.160066 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
13:47:06.160086 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
13:47:06.170224 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
13:47:06.170244 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
13:47:06.180384 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
13:47:06.180401 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
13:47:06.190541 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
13:47:06.190558 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
13:47:06.200698 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
13:47:06.200716 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
13:47:06.210855 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
13:47:06.210873 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
13:47:06.221010 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 71
13:47:06.221030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
13:47:06.231169 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 72
13:47:06.231188 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
13:47:06.241327 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 73
13:47:06.241346 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
13:47:06.251485 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 74
13:47:06.251503 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
13:47:06.261645 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 75
13:47:06.261663 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
13:47:06.271802 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 76
13:47:06.271821 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
13:47:06.281966 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 77
13:47:06.281985 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
13:47:06.292127 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 78
13:47:06.292146 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
13:47:06.302269 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 79
13:47:06.302286 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
13:47:06.312427 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 80
13:47:06.312444 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
13:47:06.322584 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 81
13:47:06.322602 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
13:47:06.332741 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 82
13:47:06.332759 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
13:47:06.342898 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 83
13:47:06.342917 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
13:47:06.353057 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 84
13:47:06.353074 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
13:47:06.363214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 85
13:47:06.363234 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
13:47:06.373373 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
13:47:06.373389 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 86
13:47:06.383535 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
13:47:06.383550 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 87
13:47:06.393703 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
13:47:06.393717 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 88
13:47:06.403862 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 89
13:47:06.403881 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
13:47:06.414020 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 90
13:47:06.414039 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
13:47:06.424177 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 91
13:47:06.424196 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
13:47:06.434335 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 92
13:47:06.434354 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
13:47:06.444493 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 93
13:47:06.444512 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
13:47:06.454651 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 94
13:47:06.454670 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
13:47:06.464808 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 95
13:47:06.464827 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
13:47:06.474966 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 96
13:47:06.474985 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
13:47:06.485124 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 97
13:47:06.485143 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
13:47:06.495282 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 98
13:47:06.495300 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
13:47:06.505438 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 99
13:47:06.505456 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
13:47:06.515605 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 100
13:47:06.515622 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
13:47:06.525764 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 101
13:47:06.525783 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
13:47:06.535924 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 102
13:47:06.535946 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
13:47:06.546085 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 103
13:47:06.546104 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
13:47:06.556246 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 104
13:47:06.556263 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
13:47:06.566408 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 105
13:47:06.566424 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
13:47:06.576561 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
13:47:06.576579 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 106
13:47:06.586718 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
13:47:06.586736 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 107
13:47:06.596877 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
13:47:06.596895 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 108
13:47:06.607036 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
13:47:06.607054 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 109
13:47:06.617176 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
13:47:06.617195 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 110
13:47:06.627316 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
13:47:06.627335 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 111
13:47:06.637484 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
13:47:06.637502 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 112
13:47:06.647641 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
13:47:06.647658 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 113
13:47:06.657798 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
13:47:06.657817 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 114
13:47:06.667956 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 115
13:47:06.667973 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 115
13:47:06.678111 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 116
13:47:06.678129 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 116
13:47:06.688268 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 117
13:47:06.688288 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 117
13:47:06.698427 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 118
13:47:06.698446 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 118
13:47:06.708585 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 119
13:47:06.708604 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 119
