13:03:41.517360 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
13:03:41.521331 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
13:03:41.528096 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
13:03:41.534010 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
13:03:41.539397 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
13:03:41.546631 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
13:03:41.552040 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
13:03:41.556858 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
13:03:41.564613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
13:03:41.569452 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
13:03:41.577392 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
13:03:41.580128 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
13:03:41.587965 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
13:03:41.590359 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
13:03:41.600751 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
13:03:41.600815 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
13:03:41.611385 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
13:03:41.611572 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
13:03:41.621789 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
13:03:41.621904 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
13:03:41.632582 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
13:03:41.632642 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
13:03:41.643808 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
13:03:41.643921 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
13:03:41.656482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
13:03:41.656592 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
13:03:41.669035 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
13:03:41.669136 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
13:03:41.681083 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
13:03:41.681162 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
13:03:41.693705 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 50
13:03:41.693814 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 50
13:03:41.704267 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 51
13:03:41.704386 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 51
13:03:41.716802 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 52
13:03:41.716915 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 52
13:03:41.729370 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 53
13:03:41.729464 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 53
13:03:41.739949 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 54
13:03:41.740049 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 54
13:03:41.752513 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 55
13:03:41.752616 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 55
13:03:41.762823 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 56
13:03:41.763080 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 56
13:03:41.775254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 57
13:03:41.775348 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 57
13:03:41.787908 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 58
13:03:41.788012 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 58
13:03:41.799565 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 59
13:03:41.799651 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 59
