18:10:30.745040 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 33
18:10:30.745193 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 33
18:10:30.755179 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 34
18:10:30.755332 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 34
18:10:30.765319 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 35
18:10:30.765472 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 35
18:10:30.775459 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 36
18:10:30.775611 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 36
18:10:30.785598 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 37
18:10:30.785750 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 37
18:10:30.795737 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 38
18:10:30.795890 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 38
18:10:30.805877 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 39
18:10:30.806030 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 39
18:10:30.816015 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 40
18:10:30.816168 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 40
18:10:30.826156 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 41
18:10:30.826308 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 41
18:10:30.836296 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 42
18:10:30.836448 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 42
