16:09:37.431472 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
16:09:37.441614 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
16:09:37.451758 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
16:09:37.461901 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
16:09:37.472044 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
16:09:37.482185 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
16:09:37.492325 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
16:09:37.502467 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
16:09:37.512607 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
16:09:37.522747 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
16:09:37.532887 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
16:09:37.543030 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
16:09:37.553173 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
16:09:37.563316 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
16:09:37.573457 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
16:09:37.583596 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
16:09:37.593734 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
16:09:37.603876 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
16:09:37.614016 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
16:09:37.624155 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
16:09:37.634298 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
16:09:37.644442 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
16:09:37.654583 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
16:09:37.664726 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
16:09:37.674870 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
16:09:37.685013 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
16:09:37.695157 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 96
16:09:37.705296 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 97
16:09:37.715440 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 98
16:09:37.725584 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 99
16:09:37.735724 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 100
16:09:37.745874 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 101
16:09:37.756019 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 102
16:09:37.766160 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 103
16:09:37.776304 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 104
16:09:37.786449 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 105
16:09:37.796592 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 106
16:09:37.806733 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 107
16:09:37.816872 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 108
16:09:37.827013 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 109
16:09:37.837152 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 110
16:09:37.847291 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 111
16:09:37.857430 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 112
16:09:37.867570 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 113
16:09:37.877712 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 114
16:09:37.887853 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 115
16:09:37.897994 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 116
16:09:37.908137 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 117
16:09:37.918276 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 118
16:09:37.928419 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 119
16:09:37.938563 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 120
16:09:37.948703 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 121
16:09:37.958842 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 122
16:09:37.968981 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 123
16:09:37.979119 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 124
16:09:37.989262 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 125
16:09:37.999389 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 126
16:09:38.009515 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 127
16:09:38.019642 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 128
16:09:38.029767 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 129
16:09:38.039906 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 130
16:09:38.050043 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 131
16:09:38.060186 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 132
16:09:38.070327 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 133
16:09:38.080467 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 134
16:09:38.090607 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 135
16:09:38.100747 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 136
16:09:38.110895 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 137
16:09:38.121036 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 138
16:09:38.131176 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 139
16:09:38.141319 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 140
16:09:38.151462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 141
16:09:38.161603 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 142
16:09:38.171745 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 143
16:09:38.181885 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 144
