16:27:38.927536 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
16:27:38.937678 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
16:27:38.947816 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 72
16:27:38.957953 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 73
16:27:38.968091 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 74
16:27:38.978232 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 75
16:27:38.988370 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 76
16:27:38.998507 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 77
16:27:39.008644 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 78
16:27:39.018780 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 79
16:27:39.028917 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 80
16:27:39.039053 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 81
16:27:39.049190 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 82
16:27:39.059327 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 83
16:27:39.069462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 84
16:27:39.079599 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 85
16:27:39.089735 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 86
16:27:39.099873 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 87
16:27:39.110009 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 88
16:27:39.120146 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 89
16:27:39.130283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 90
16:27:39.140404 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 91
16:27:39.150524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 92
16:27:39.160644 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 93
16:27:39.170764 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 94
16:27:39.180901 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 95
