13:14:12.039865 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 36
13:14:12.039878 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 36
13:14:12.050013 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 37
13:14:12.050026 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 37
13:14:12.060163 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 38
13:14:12.060176 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 38
13:14:12.070310 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 39
13:14:12.070324 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 39
13:14:12.080462 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 40
13:14:12.080481 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 40
13:14:12.090618 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 41
13:14:12.090632 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 41
13:14:12.100775 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 42
13:14:12.100789 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 42
13:14:12.110926 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 43
13:14:12.110940 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 43
13:14:12.121077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 44
13:14:12.121088 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 44
13:14:12.131227 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 45
13:14:12.131241 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 45
13:14:12.141378 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 93 , 46
13:14:12.141392 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 46
13:14:12.151528 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 92 , 47
