10:43:36.163868 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 1
10:43:36.171556 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 1
10:43:36.174788 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 2
10:43:36.180727 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 2
10:43:36.187438 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 3
10:43:36.191639 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 3
10:43:36.199997 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 4
10:43:36.202697 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 4
10:43:36.212641 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 5
10:43:36.212827 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 5
10:43:36.225338 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 6
10:43:36.225395 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 6
10:43:36.235828 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 7
10:43:36.235963 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 7
10:43:36.248444 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 8
10:43:36.248537 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 8
10:43:36.261153 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 9
10:43:36.261248 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 9
10:43:36.273783 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 10
10:43:36.273887 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 10
10:43:36.286444 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 11
10:43:36.286530 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 11
10:43:36.299114 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 12
10:43:36.299219 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 12
10:43:36.311762 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 13
10:43:36.311871 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 13
10:43:36.324445 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 14
10:43:36.324545 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 14
10:43:36.337092 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 15
10:43:36.337166 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 15
10:43:36.349791 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 16
10:43:36.349866 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 16
10:43:36.362426 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 17
10:43:36.362486 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 17
10:43:36.373205 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 18
10:43:36.373247 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 18
10:43:36.385833 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 19
10:43:36.385920 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 19
10:43:36.396679 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 20
10:43:36.396773 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 20
10:43:36.409375 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 21
10:43:36.409417 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 21
10:43:36.422043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 22
10:43:36.422151 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 22
10:43:36.432911 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 23
10:43:36.432988 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 23
10:43:36.445550 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 24
10:43:36.445658 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 24
10:43:36.458242 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 25
10:43:36.458319 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 25
10:43:36.470916 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 26
10:43:36.471005 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 26
10:43:36.483559 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 27
10:43:36.483635 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 27
10:43:36.496250 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 28
10:43:36.496338 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 28
10:43:36.508922 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 29
10:43:36.508994 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 29
10:43:36.519813 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 30
10:43:36.519913 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 30
10:43:36.530139 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 31
10:43:36.530240 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 31
10:43:36.542613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 32
10:43:36.542702 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 32
10:43:36.555274 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 33
10:43:36.555377 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 33
10:43:36.567939 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 34
10:43:36.568016 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 34
10:43:36.580604 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 35
10:43:36.580699 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 35
10:43:36.593251 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 36
10:43:36.593328 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
10:43:36.605934 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 37
10:43:36.606082 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
10:43:36.618581 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 38
10:43:36.618690 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
10:43:36.631242 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 39
10:43:36.631349 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
10:43:36.643908 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 40
10:43:36.644016 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
10:43:36.656113 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 41
10:43:36.656155 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
10:43:36.668625 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 42
10:43:36.668718 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
10:43:36.681006 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
10:43:36.681103 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 43
10:43:36.691941 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
10:43:36.692043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 44
10:43:36.704853 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 45
10:43:36.704958 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
10:43:36.717733 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 46
10:43:36.717932 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
10:43:36.728508 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
10:43:36.728527 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 47
10:43:36.741345 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 48
10:43:36.741449 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 48
10:43:36.754225 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 49
10:43:36.754306 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 49
10:43:36.767115 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 50
10:43:36.767197 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 50
10:43:36.777478 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 51
10:43:36.777597 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 51
10:43:36.790358 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 52
10:43:36.790443 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 52
10:43:36.803237 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 53
10:43:36.803411 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 53
10:43:36.816080 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 54
10:43:36.816195 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 54
10:43:36.828975 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 55
10:43:36.829058 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 55
10:43:36.841852 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 56
10:43:36.841929 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 56
10:43:36.854737 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 57
10:43:36.854918 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 57
10:43:36.867575 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 58
10:43:36.867680 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 58
10:43:36.880443 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 59
10:43:36.880520 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 59
10:43:36.893220 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 60
10:43:36.893258 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 60
10:43:36.905627 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 61
10:43:36.905669 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 61
10:43:36.917534 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 62
10:43:36.917537 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 62
10:43:36.930381 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 63
10:43:36.930497 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 63
10:43:36.942290 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 64
10:43:36.942412 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 64
10:43:36.954958 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 65
10:43:36.955059 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 65
10:43:36.967596 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 66
10:43:36.967703 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 66
10:43:36.980383 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 67
10:43:36.980402 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 67
10:43:36.992974 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 68
10:43:36.993069 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 68
10:43:37.005609 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 69
10:43:37.005700 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 69
10:43:37.018287 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 70
10:43:37.018396 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 70
10:43:37.031181 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 71
10:43:37.031300 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 71
10:43:37.042899 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 72
10:43:37.042941 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 72
10:43:37.053647 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 73
10:43:37.053756 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 73
10:43:37.066315 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 74
10:43:37.066419 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 74
10:43:37.078941 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 75
10:43:37.079019 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 75
10:43:37.091609 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 76
10:43:37.091704 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 76
10:43:37.104271 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 77
10:43:37.104373 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 77
