13:44:56.320227 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 1
13:44:56.330973 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 2
13:44:56.341697 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 3
13:44:56.352458 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 4
13:44:56.363254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 5
13:44:56.374044 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 6
13:44:56.384724 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 7
13:44:56.395593 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 8
13:44:56.406444 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 9
13:44:56.417490 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 10
13:44:56.428905 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 11
13:44:56.440609 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 12
13:44:56.451690 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 13
13:44:56.462663 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 14
13:44:56.473359 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 15
13:44:56.484572 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 16
13:44:56.495668 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 17
13:44:56.506656 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 18
13:44:56.517520 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 19
13:44:56.528613 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 20
13:44:56.539472 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 21
13:44:56.551403 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 22
13:44:56.562176 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 23
13:44:56.573171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 24
13:44:56.584326 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 25
13:44:56.595058 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 26
13:44:56.606218 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 27
13:44:56.617231 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 28
13:44:56.628075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 29
13:44:56.639121 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 30
13:44:56.649880 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 31
13:44:56.661504 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 32
13:44:56.672624 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 33
13:44:56.683364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 34
13:44:56.694220 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 35
13:44:56.705301 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
13:44:56.716162 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
13:44:56.727509 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
13:44:56.738570 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
13:44:56.749709 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
13:44:56.761171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
13:44:56.771929 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
13:44:56.782822 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
13:44:56.793769 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
13:44:56.804821 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
13:44:56.815934 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
13:44:56.826654 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
