11:31:07.101216 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 65
11:31:07.111361 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 66
11:31:07.121518 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 67
11:31:07.131674 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 68
11:31:07.141834 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 69
11:31:07.151989 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 70
11:31:07.162144 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 71
11:31:07.172298 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 72
11:31:07.182453 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 73
11:31:07.192611 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 74
11:31:07.202766 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 75
11:31:07.212921 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 76
11:31:07.223091 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 77
11:31:07.233247 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 78
11:31:07.243402 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 79
11:31:07.253558 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 80
11:31:07.263714 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 81
11:31:07.273869 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 82
11:31:07.284024 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 83
11:31:07.294180 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 84
11:31:07.304336 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 85
11:31:07.314496 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 86
11:31:07.324634 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 87
11:31:07.334793 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 88
11:31:07.344948 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 89
11:31:07.355103 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 90
11:31:07.365255 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 91
11:31:07.375409 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 92
11:31:07.385565 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 93
11:31:07.395720 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 94
11:31:07.405880 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 95
11:31:07.416026 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 96
11:31:07.426169 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 97
11:31:07.436310 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 98
11:31:07.446451 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 99
11:31:07.456606 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 100
11:31:07.466783 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 101
11:31:07.476939 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 102
11:31:07.487091 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 103
11:31:07.497249 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 104
11:31:07.507388 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 105
11:31:07.517543 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 106
11:31:07.527698 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 107
11:31:07.537843 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 108
11:31:07.548002 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 109
11:31:07.558158 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 110
11:31:07.568314 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 111
11:31:07.578468 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 112
11:31:07.588625 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 113
11:31:07.598778 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 114
11:31:07.608932 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 115
11:31:07.619086 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 116
11:31:07.629243 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 117
11:31:07.639403 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 118
11:31:07.649559 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 119
11:31:07.659742 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 120
11:31:07.669867 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 121
11:31:07.680005 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 122
11:31:07.690161 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 123
11:31:07.700306 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 124
11:31:07.710445 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 125
11:31:07.720580 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 126
11:31:07.730749 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 127
11:31:07.740904 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 128
11:31:07.751085 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 129
11:31:07.761241 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 130
11:31:07.771397 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 131
11:31:07.781552 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 132
11:31:07.791707 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 133
11:31:07.801861 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 134
11:31:07.812017 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 135
11:31:07.822172 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 136
11:31:07.832327 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 137
11:31:07.842482 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 138
11:31:07.852637 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 139
