1456930894.69,received , 1 , 0.193816184998, lte
1456930894.69,received , 2 , 0.183893918991, lte
1456930894.69,received , 3 , 0.172617197037, lte
1456930894.69,received , 4 , 0.162747859955, lte
1456930894.69,received , 5 , 0.152203083038, lte
1456930894.69,received , 6 , 0.141305208206, lte
1456930894.69,received , 7 , 0.131067991257, lte
1456930894.69,received , 8 , 0.120985031128, lte
1456930894.69,received , 9 , 0.110745191574, lte
1456930894.69,received , 10 , 0.0996189117432, lte
1456930894.7,received , 11 , 0.0898830890656, lte
1456930894.7,received , 12 , 0.0793740749359, lte
1456930894.7,received , 13 , 0.0683619976044, lte
1456930894.7,received , 14 , 0.0593872070312, lte
1456930894.7,received , 15 , 0.0490930080414, lte
1456930894.7,received , 16 , 0.0381002426147, lte
1456930894.7,received , 17 , 0.0281050205231, lte
1456930894.7,received , 18 , 0.0177850723267, lte
1456930894.7,received , 19 , 0.00870609283447, lte
1456930894.74,received , 20 , 0.0328102111816, lte
1456930894.74,received , 21 , 0.0223519802094, lte
1456930894.75,received , 22 , 0.0204200744629, lte
1456930894.75,received , 23 , 0.0101640224457, lte
1456930894.78,received , 24 , 0.0283169746399, lte
1456930894.79,received , 25 , 0.0272688865662, lte
1456930894.79,received , 26 , 0.0212359428406, lte
1456930894.79,received , 27 , 0.0109860897064, lte
1456930894.81,received , 28 , 0.018963098526, lte
1456930894.83,received , 29 , 0.0227880477905, lte
1456930894.84,received , 30 , 0.0220229625702, lte
1456930894.85,received , 31 , 0.0207691192627, lte
1456930894.85,received , 32 , 0.014643907547, lte
1456930894.88,received , 33 , 0.0286600589752, lte
1456930894.89,received , 34 , 0.0276031494141, lte
1456930894.89,received , 35 , 0.021537065506, lte
1456930894.89,received , 36 , 0.0111560821533, lte
1456930894.91,received , 37 , 0.0194580554962, lte
1456930894.93,received , 38 , 0.0230531692505, lte
1456930894.94,received , 39 , 0.0220210552216, lte
1456930894.94,received , 40 , 0.0156559944153, lte
1456930894.96,received , 41 , 0.0193440914154, lte
