13:31:24.841204 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
13:31:24.841218 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
13:31:24.851368 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
13:31:24.851383 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
13:31:24.861524 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
13:31:24.861540 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
13:31:24.871679 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
13:31:24.871694 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
13:31:24.881835 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
13:31:24.881853 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
13:31:24.891993 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
13:31:24.892009 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
13:31:24.902148 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
13:31:24.902164 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
13:31:24.912305 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
13:31:24.912320 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
13:31:24.922460 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
13:31:24.922477 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
13:31:24.932624 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
13:31:24.932639 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
13:31:24.942783 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
13:31:24.942800 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
13:31:24.952945 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
13:31:24.952964 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
13:31:24.963107 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
13:31:24.963122 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
13:31:24.973266 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
13:31:24.973283 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
13:31:24.983423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
13:31:24.983441 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
13:31:24.993577 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
13:31:24.993591 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
13:31:25.003736 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
13:31:25.003751 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
13:31:25.013896 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
13:31:25.013917 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
13:31:25.024056 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
13:31:25.024074 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
13:31:25.034214 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
13:31:25.034230 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
13:31:25.044371 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
13:31:25.044387 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
13:31:25.054531 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
13:31:25.054547 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
13:31:25.064690 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
13:31:25.064706 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
13:31:25.074850 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
13:31:25.074866 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
