17:21:46.780617 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 33
17:21:46.780632 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 33
17:21:46.790769 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 34
17:21:46.790783 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 34
17:21:46.800926 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 35
17:21:46.800939 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 35
17:21:46.811083 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 36
17:21:46.811096 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 36
17:21:46.821224 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 37
17:21:46.821237 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 37
17:21:46.831370 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 38
17:21:46.831384 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 38
17:21:46.841527 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 39
17:21:46.841541 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 39
17:21:46.851684 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 40
17:21:46.851697 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 40
17:21:46.861841 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 41
17:21:46.861855 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 41
17:21:46.871997 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 42
17:21:46.872011 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 42
17:21:46.882155 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 43
17:21:46.882168 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 43
17:21:46.892320 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 44
17:21:46.892334 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 44
17:21:46.902477 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 45
17:21:46.902491 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 45
17:21:46.912612 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 46
17:21:46.912626 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 46
17:21:46.922768 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 47
17:21:46.922782 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 47
17:21:46.932926 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 48
17:21:46.932943 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 48
17:21:46.943087 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 49
17:21:46.943107 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 49
17:21:46.953245 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 50
17:21:46.953261 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 50
17:21:46.963399 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 51
17:21:46.963414 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 51
17:21:46.973553 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 52
17:21:46.973567 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 52
17:21:46.983711 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 53
17:21:46.983724 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 53
17:21:46.993866 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 54
17:21:46.993886 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 54
17:21:47.004015 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 55
17:21:47.004030 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 55
17:21:47.014177 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 56
17:21:47.014196 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 56
17:21:47.024331 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 57
17:21:47.024345 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 57
17:21:47.034489 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 58
17:21:47.034502 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 58
17:21:47.044641 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 59
17:21:47.044655 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 59
17:21:47.054793 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 60
17:21:47.054807 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 60
17:21:47.064947 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 61
17:21:47.064959 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 61
17:21:47.075100 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 62
17:21:47.075114 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 62
17:21:47.085252 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 63
17:21:47.085266 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 63
17:21:47.095409 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 64
17:21:47.095423 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 64
17:21:47.105561 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 65
17:21:47.105575 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 65
17:21:47.115718 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 66
17:21:47.115731 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 66
17:21:47.125871 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 492 , 67
17:21:47.125885 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 493 , 67
