13:46:47.139058 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
13:46:47.150254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
13:46:47.161504 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
13:46:47.173042 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 73
13:46:47.184236 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 74
13:46:47.195446 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 75
13:46:47.206486 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 76
13:46:47.218254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 77
13:46:47.229402 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 78
13:46:47.241234 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 79
13:46:47.252364 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 80
13:46:47.263618 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 81
13:46:47.274996 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 82
13:46:47.286052 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 83
13:46:47.297205 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 84
13:46:47.308411 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 85
13:46:47.319440 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 86
13:46:47.330692 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 87
13:46:47.342080 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 88
13:46:47.353161 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 89
13:46:47.364448 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 90
13:46:47.375687 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 91
13:46:47.386710 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 92
13:46:47.399762 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 93
13:46:47.411197 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 94
13:46:47.422014 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 95
13:46:47.432781 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 96
13:46:47.443568 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 97
13:46:47.454228 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 98
13:46:47.464836 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 99
13:46:47.475606 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 100
13:46:47.486274 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 101
13:46:47.496882 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 102
13:46:47.507493 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 103
13:46:47.517941 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 104
13:46:47.528464 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 105
13:46:47.539240 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 106
13:46:47.549935 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 107
13:46:47.560643 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 108
13:46:47.571606 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 109
13:46:47.583262 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 110
13:46:47.594517 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 111
13:46:47.605937 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 112
13:46:47.617075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 113
13:46:47.628228 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 114
13:46:47.639363 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 115
13:46:47.651298 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 116
13:46:47.662481 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 117
13:46:47.673783 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 118
13:46:47.684859 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 119
13:46:47.695984 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 120
13:46:47.707167 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 121
13:46:47.718220 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 122
13:46:47.729355 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 123
13:46:47.740667 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 124
13:46:47.751669 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 125
13:46:47.762794 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 126
