16:24:47.652278 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
16:24:47.655046 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
16:24:47.662761 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
16:24:47.665414 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
16:24:47.673864 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
16:24:47.676089 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
16:24:47.684967 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
16:24:47.686850 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
16:24:47.696082 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
16:24:47.698051 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
16:24:47.707246 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
16:24:47.709207 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
16:24:47.718374 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
16:24:47.720013 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
16:24:47.729407 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
16:24:47.730821 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
16:24:47.740482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
16:24:47.741749 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
16:24:47.751516 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
16:24:47.753072 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
16:24:47.762682 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
16:24:47.763871 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
16:24:47.773900 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
16:24:47.774715 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
16:24:47.785388 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
16:24:47.785867 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
16:24:47.796644 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
16:24:47.797032 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
16:24:47.807774 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
16:24:47.808213 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
16:24:47.818514 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
16:24:47.818989 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
16:24:47.829282 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
16:24:47.829715 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
16:24:47.839867 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
16:24:47.840077 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
16:24:47.850317 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
16:24:47.850438 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
16:24:47.860720 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
16:24:47.861198 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
16:24:47.871397 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
16:24:47.872031 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
16:24:47.882616 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
16:24:47.883622 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
16:24:47.894680 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
16:24:47.895967 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
16:24:47.906521 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
16:24:47.907299 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
16:24:47.917363 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
16:24:47.918266 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
16:24:47.928220 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
16:24:47.929231 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
16:24:47.939043 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
16:24:47.940197 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
16:24:47.949892 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
16:24:47.951161 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
16:24:47.960716 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
16:24:47.962750 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
16:24:47.971532 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
16:24:47.973601 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
16:24:47.982390 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
16:24:47.984683 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
16:24:47.993222 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
16:24:47.995960 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
16:24:48.004067 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
16:24:48.006947 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
16:24:48.014857 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
16:24:48.017804 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
16:24:48.025695 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
16:24:48.028653 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
16:24:48.036488 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
16:24:48.039696 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
16:24:48.046900 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
16:24:48.050168 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
16:24:48.057224 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
16:24:48.060502 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
16:24:48.067539 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
16:24:48.071875 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
16:24:48.077883 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
16:24:48.082654 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
16:24:48.088422 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
16:24:48.093315 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
16:24:48.098999 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
16:24:48.103943 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
16:24:48.109566 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
16:24:48.114574 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
16:24:48.120162 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
16:24:48.125634 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
