1457799887.65,received , 1 , 0.0183038711548, wifi
1457799887.65,received , 2 , 0.00827479362488, wifi
1457799887.66,received , 3 , 0.00589394569397, wifi
1457799887.66,received , 4 , 0.00332283973694, wifi
1457799887.68,received , 5 , 0.00437903404236, wifi
1457799887.69,received , 6 , 0.00507402420044, wifi
1457799887.7,received , 7 , 0.00500297546387, wifi
1457799887.71,received , 8 , 0.00457692146301, wifi
1457799887.72,received , 9 , 0.00291705131531, wifi
1457799887.73,received , 10 , 0.00344491004944, wifi
1457799887.74,received , 11 , 0.00292110443115, wifi
1457799887.75,received , 12 , 0.00570583343506, wifi
1457799887.76,received , 13 , 0.00547790527344, wifi
1457799887.78,received , 14 , 0.0061240196228, wifi
1457799887.78,received , 1 , 0.158337831497, lte
1457799887.79,received , 15 , 0.00411200523376, wifi
1457799887.79,received , 2 , 0.153480768204, lte
1457799887.8,received , 3 , 0.148902893066, lte
1457799887.8,received , 4 , 0.144200086594, lte
1457799887.8,received , 16 , 0.0101070404053, wifi
1457799887.81,received , 5 , 0.138272047043, lte
1457799887.81,received , 17 , 0.00500893592834, wifi
1457799887.81,received , 6 , 0.133281946182, lte
1457799887.82,received , 7 , 0.128106832504, lte
1457799887.82,received , 18 , 0.00933575630188, wifi
1457799887.82,received , 8 , 0.122041940689, lte
1457799887.83,received , 9 , 0.116703033447, lte
1457799887.83,received , 19 , 0.00834488868713, wifi
1457799887.84,received , 10 , 0.112828016281, lte
1457799887.84,received , 20 , 0.00855898857117, wifi
1457799887.85,received , 11 , 0.111964941025, lte
1457799887.86,received , 12 , 0.11069393158, lte
1457799887.86,received , 21 , 0.0151350498199, wifi
1457799887.87,received , 22 , 0.00969576835632, wifi
1457799887.87,received , 13 , 0.108473062515, lte
1457799887.88,received , 23 , 0.00910711288452, wifi
1457799887.88,received , 14 , 0.105940818787, lte
1457799887.88,received , 15 , 0.103806972504, lte
1457799887.89,received , 24 , 0.00696277618408, wifi
1457799887.89,received , 16 , 0.100803852081, lte
1457799887.9,received , 25 , 0.00959396362305, wifi
1457799887.9,received , 17 , 0.0975680351257, lte
1457799887.91,received , 18 , 0.0948538780212, lte
1457799887.91,received , 26 , 0.00893592834473, wifi
1457799887.92,received , 19 , 0.0920579433441, lte
1457799887.92,received , 27 , 0.00794410705566, wifi
1457799887.92,received , 20 , 0.0896730422974, lte
1457799887.93,received , 28 , 0.00732779502869, wifi
1457799887.93,received , 21 , 0.0860800743103, lte
1457799887.94,received , 22 , 0.0826418399811, lte
1457799887.94,received , 29 , 0.00744891166687, wifi
1457799887.95,received , 23 , 0.0789468288422, lte
1457799887.95,received , 30 , 0.00846409797668, wifi
1457799887.95,received , 24 , 0.0750758647919, lte
1457799887.96,received , 31 , 0.00642800331116, wifi
1457799887.96,received , 25 , 0.0709869861603, lte
1457799887.97,received , 26 , 0.0669760704041, lte
1457799887.97,received , 32 , 0.00487685203552, wifi
1457799887.98,received , 27 , 0.0630350112915, lte
1457799887.98,received , 28 , 0.0590851306915, lte
1457799887.99,received , 33 , 0.0098180770874, wifi
1457799887.99,received , 29 , 0.055027961731, lte
1457799887.99,received , 34 , 0.00315093994141, wifi
1457799888.0,received , 30 , 0.0512721538544, lte
1457799888.01,received , 35 , 0.008455991745, wifi
1457799888.01,received , 31 , 0.0537919998169, lte
1457799888.01,received , 32 , 0.0427458286285, lte
1457799888.02,received , 33 , 0.0383858680725, lte
1457799888.02,received , 36 , 0.00943207740784, wifi
1457799888.03,received , 34 , 0.0343461036682, lte
1457799888.03,received , 37 , 0.00936484336853, wifi
1457799888.03,received , 35 , 0.0295441150665, lte
1457799888.04,received , 36 , 0.0257968902588, lte
1457799888.04,received , 38 , 0.0112278461456, wifi
1457799888.05,received , 37 , 0.0215809345245, lte
1457799888.05,received , 39 , 0.00481700897217, wifi
1457799888.06,received , 38 , 0.0208160877228, lte
1457799888.06,received , 39 , 0.0154819488525, lte
1457799888.06,received , 40 , 0.0106160640717, wifi
