17:27:43.873161 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 33
17:27:43.873176 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 33
17:27:43.883313 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 34
17:27:43.883326 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 34
17:27:43.893463 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 35
17:27:43.893475 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 35
17:27:43.903613 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 36
17:27:43.903626 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 36
17:27:43.913761 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 37
17:27:43.913777 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 37
17:27:43.923895 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 38
17:27:43.923909 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 38
17:27:43.934029 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 39
17:27:43.934045 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 39
17:27:43.944165 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 40
17:27:43.944179 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 40
17:27:43.954314 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 41
17:27:43.954329 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 41
17:27:43.964466 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 42
17:27:43.964481 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 42
17:27:43.974618 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 43
17:27:43.974631 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 43
17:27:43.984768 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 44
17:27:43.984781 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 44
17:27:43.994918 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 45
17:27:43.994931 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 45
17:27:44.005069 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 46
17:27:44.005082 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 46
17:27:44.015220 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 47
17:27:44.015230 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 47
17:27:44.025368 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 48
17:27:44.025380 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 48
17:27:44.035532 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 49
17:27:44.035545 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 49
17:27:44.045680 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 50
17:27:44.045695 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 50
17:27:44.055830 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 51
17:27:44.055844 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 51
17:27:44.065986 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 52
17:27:44.065999 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 52
17:27:44.076137 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 53
17:27:44.076150 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 53
17:27:44.086286 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 54
17:27:44.086299 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 54
17:27:44.096436 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 55
17:27:44.096449 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 55
17:27:44.106594 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 56
17:27:44.106606 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 56
17:27:44.116744 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 57
17:27:44.116757 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 57
17:27:44.126893 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 58
17:27:44.126907 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 58
17:27:44.137049 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 59
17:27:44.137062 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 59
17:27:44.147198 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 60
17:27:44.147213 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 60
17:27:44.157350 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 61
17:27:44.157365 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 61
17:27:44.167502 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 62
17:27:44.167516 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 62
17:27:44.177653 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 63
17:27:44.177667 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 63
17:27:44.187806 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 64
17:27:44.187823 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 64
17:27:44.197959 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 65
