18:27:44.122376 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
18:27:44.122393 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
18:27:44.132533 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
18:27:44.132549 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
18:27:44.142690 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
18:27:44.142705 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
18:27:44.152849 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
18:27:44.152864 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
18:27:44.163012 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
18:27:44.163027 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
18:27:44.173174 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
18:27:44.173189 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
18:27:44.183329 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
18:27:44.183344 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
18:27:44.193485 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
18:27:44.193500 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
18:27:44.203644 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
18:27:44.203661 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
18:27:44.213806 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
18:27:44.213821 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
18:27:44.223969 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
18:27:44.223987 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
18:27:44.234127 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
18:27:44.234145 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
18:27:44.244282 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
18:27:44.244296 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
18:27:44.254440 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
18:27:44.254463 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
18:27:44.264603 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
18:27:44.264620 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
18:27:44.274760 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
18:27:44.274777 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
18:27:44.284918 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
18:27:44.284939 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
18:27:44.295075 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
18:27:44.295098 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
18:27:44.305238 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
18:27:44.305258 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
18:27:44.315397 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
18:27:44.315415 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
