15:14:15.526139 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 70
15:14:15.538807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 71
15:14:15.551156 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 72
15:14:15.563754 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 73
15:14:15.575001 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 74
15:14:15.587635 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 75
15:14:15.599171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 76
15:14:15.611212 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 77
15:14:15.621608 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 78
15:14:15.632586 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 79
15:14:15.645199 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 80
15:14:15.657869 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 81
15:14:15.668968 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 82
15:14:15.681626 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 83
15:14:15.694274 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 84
15:14:15.706925 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 85
15:14:15.717307 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 86
15:14:15.729977 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 87
15:14:15.742636 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 88
15:14:15.753770 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 89
15:14:15.766350 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 90
15:14:15.779027 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 91
15:14:15.790911 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 92
15:14:15.803497 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 93
15:14:15.816129 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 94
15:14:15.828810 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 95
15:14:15.841462 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 96
15:14:15.852607 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 97
15:14:15.865221 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 98
15:14:15.875927 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 99
15:14:15.887468 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 100
15:14:15.898735 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 101
15:14:15.911362 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 102
15:14:15.924037 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 103
15:14:15.935443 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 104
15:14:15.948042 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 105
15:14:15.960721 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 106
15:14:15.971012 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 107
15:14:15.983494 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 108
15:14:15.995076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 109
