20:25:09.641564 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
20:25:09.647708 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
20:25:09.653035 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
20:25:09.658762 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
20:25:09.663928 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
20:25:09.669685 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
20:25:09.674512 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
20:25:09.680258 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
20:25:09.685098 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
20:25:09.690703 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
20:25:09.695519 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
20:25:09.701164 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
20:25:09.705863 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
20:25:09.711551 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
20:25:09.716183 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
20:25:09.721882 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
20:25:09.726469 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
20:25:09.732253 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
20:25:09.736777 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
20:25:09.742589 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
20:25:09.747063 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
20:25:09.753376 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
20:25:09.757739 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
20:25:09.764266 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
20:25:09.768487 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
20:25:09.775559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
20:25:09.779363 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
20:25:09.786947 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
20:25:09.790176 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
20:25:09.798051 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
20:25:09.800889 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
20:25:09.808800 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
20:25:09.811576 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
20:25:09.819843 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
20:25:09.822371 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
20:25:09.830708 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
20:25:09.833087 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
20:25:09.841408 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
20:25:09.843712 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
20:25:09.852072 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
20:25:09.854451 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
20:25:09.863244 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
20:25:09.865278 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
20:25:09.874259 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
20:25:09.876100 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
20:25:09.885274 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
20:25:09.886918 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
20:25:09.896282 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
20:25:09.897723 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
20:25:09.907554 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
20:25:09.908566 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
20:25:09.918559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
20:25:09.919382 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
20:25:09.930264 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
20:25:09.930999 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
20:25:09.941235 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
20:25:09.942036 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
20:25:09.952287 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
20:25:09.953290 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
20:25:09.963169 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
20:25:09.964136 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
20:25:09.973965 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
20:25:09.974961 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
20:25:09.984776 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
20:25:09.985788 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
20:25:09.995638 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
20:25:09.996746 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
20:25:10.006484 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
20:25:10.007707 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
20:25:10.017748 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
20:25:10.018860 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
20:25:10.029825 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
