20:20:34.227608 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
20:20:34.234959 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
20:20:34.238435 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
20:20:34.245970 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
20:20:34.249257 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
20:20:34.256938 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
20:20:34.260078 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
20:20:34.267941 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
20:20:34.270895 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
20:20:34.278949 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
20:20:34.281750 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
20:20:34.290105 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
20:20:34.292715 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
20:20:34.301032 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
20:20:34.303548 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
20:20:34.312227 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
20:20:34.314327 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
20:20:34.323119 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
20:20:34.325093 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
20:20:34.333977 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
20:20:34.335857 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
20:20:34.344956 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
20:20:34.346623 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
20:20:34.355802 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
20:20:34.357374 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
20:20:34.366676 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
20:20:34.368126 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 48
20:20:34.377720 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
20:20:34.378904 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 49
