15:11:51.041148 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 32
15:11:51.051263 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 33
15:11:51.051286 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 33
15:11:51.061411 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 34
15:11:51.061429 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 34
15:11:51.071569 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 35
15:11:51.071586 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 35
15:11:51.081728 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 36
15:11:51.081745 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 36
15:11:51.091885 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 37
15:11:51.091902 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 37
15:11:51.102040 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 38
15:11:51.102059 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 38
15:11:51.112199 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 39
15:11:51.112215 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 39
15:11:51.122354 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 40
15:11:51.122370 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 40
15:11:51.132510 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 41
15:11:51.132528 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 41
15:11:51.142668 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 42
15:11:51.142686 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 42
15:11:51.152826 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 43
15:11:51.152847 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 43
15:11:51.162990 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 44
15:11:51.163007 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 44
15:11:51.173149 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 45
15:11:51.173170 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 45
15:11:51.183310 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 46
15:11:51.183328 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 46
15:11:51.193468 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 47
15:11:51.193485 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 47
15:11:51.203624 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 48
15:11:51.203642 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 48
15:11:51.213783 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 49
15:11:51.213801 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 49
15:11:51.223940 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 50
15:11:51.223958 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 50
15:11:51.234098 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 51
15:11:51.234114 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 51
15:11:51.244254 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 52
15:11:51.244271 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 52
15:11:51.254393 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 53
15:11:51.254409 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 53
15:11:51.264549 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 54
15:11:51.264566 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 54
15:11:51.274710 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 55
15:11:51.274725 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 55
15:11:51.284866 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 56
15:11:51.284882 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 56
15:11:51.295021 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 57
15:11:51.295039 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 57
15:11:51.305178 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 58
