17:10:47.192222 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
17:10:47.198263 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
17:10:47.213171 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
17:10:47.219200 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
17:10:47.234254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
17:10:47.240212 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
17:10:47.255388 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
17:10:47.261221 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
17:10:47.276452 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
17:10:47.282044 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
17:10:47.297474 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
17:10:47.302844 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
17:10:47.318530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
17:10:47.323720 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
17:10:47.339628 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
17:10:47.344554 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
17:10:47.361119 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
17:10:47.365462 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
17:10:47.381779 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
17:10:47.385867 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
17:10:47.402184 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
17:10:47.406169 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
17:10:47.422853 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
17:10:47.426742 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
17:10:47.443638 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
17:10:47.447375 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
17:10:47.464417 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
17:10:47.467998 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
17:10:47.484894 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
17:10:47.488350 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
17:10:47.505434 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
17:10:47.508667 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
17:10:47.525896 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
17:10:47.528980 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
17:10:47.546283 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
17:10:47.549274 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
17:10:47.566640 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
17:10:47.569559 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
17:10:47.587010 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
17:10:47.590526 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
17:10:47.607799 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
17:10:47.611486 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
17:10:47.628776 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
17:10:47.632227 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
17:10:47.650717 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
17:10:47.653017 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
17:10:47.671831 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
17:10:47.674207 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
17:10:47.692701 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
17:10:47.695065 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
17:10:47.713559 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
17:10:47.715857 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
17:10:47.734424 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
17:10:47.736645 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
17:10:47.755287 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
17:10:47.757427 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
17:10:47.776159 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
17:10:47.778236 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
