15:24:13.383075 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
15:24:13.383129 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
15:24:13.393273 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
15:24:13.393328 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
15:24:13.403462 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
15:24:13.403528 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
15:24:13.413610 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
15:24:13.413673 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
15:24:13.423758 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
15:24:13.423796 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
15:24:13.433911 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
15:24:13.433952 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
15:24:13.444092 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
15:24:13.444146 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
15:24:13.454293 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
15:24:13.454347 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
15:24:13.464490 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
15:24:13.464901 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
15:24:13.474607 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
15:24:13.475029 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
15:24:13.484745 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 45
15:24:13.485158 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
15:24:13.494872 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 46
15:24:13.495286 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
15:24:13.504999 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 47
15:24:13.505413 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
