12:53:38.933013 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 1
12:53:38.944478 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 2
12:53:38.955491 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 3
12:53:38.966427 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 4
12:53:38.977239 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 5
12:53:38.987878 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 6
12:53:38.998735 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 7
12:53:39.009643 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 8
12:53:39.020788 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 9
12:53:39.031623 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 10
12:53:39.042579 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 11
12:53:39.053418 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 12
12:53:39.064332 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 13
12:53:39.075109 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 14
12:53:39.085947 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 15
12:53:39.096826 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 16
12:53:39.107481 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 17
12:53:39.118342 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 18
12:53:39.129050 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 19
12:53:39.139893 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 20
12:53:39.150776 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 21
12:53:39.161484 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 22
12:53:39.172290 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 23
12:53:39.183243 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 24
12:53:39.193930 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 25
12:53:39.204780 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 26
12:53:39.215514 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 27
12:53:39.226236 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 28
12:53:39.237102 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 29
12:53:39.247823 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 30
12:53:39.258657 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 31
12:53:39.269524 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 32
12:53:39.280173 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 33
12:53:39.291104 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 34
12:53:39.301814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 35
12:53:39.312645 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
12:53:39.323537 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
12:53:39.334282 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
12:53:39.345113 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
12:53:39.355990 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
12:53:39.367125 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
12:53:39.378026 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
12:53:39.388853 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
12:53:39.399732 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
12:53:39.410867 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
12:53:39.421581 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
12:53:39.432389 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
12:53:39.443268 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 48
12:53:39.454004 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 49
12:53:39.464792 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 50
12:53:39.475640 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 51
12:53:39.486421 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 52
12:53:39.497255 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 53
12:53:39.507960 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 54
12:53:39.518793 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 55
12:53:39.529659 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 56
12:53:39.540406 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 57
12:53:39.551232 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 58
12:53:39.562100 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 59
12:53:39.572847 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 60
12:53:39.583653 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 61
12:53:39.594371 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 62
12:53:39.605205 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 63
12:53:39.616085 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 64
12:53:39.626855 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 65
12:53:39.637701 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 66
12:53:39.648597 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 67
12:53:39.659360 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 68
