18:12:33.190694 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 33
18:12:33.190707 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 33
18:12:33.200844 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 34
18:12:33.200857 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 34
18:12:33.210995 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 35
18:12:33.211006 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 35
18:12:33.221142 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 36
18:12:33.221155 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 36
18:12:33.231293 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 37
18:12:33.231306 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 37
18:12:33.241426 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 38
18:12:33.241436 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 38
18:12:33.251572 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 39
18:12:33.251585 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 39
18:12:33.261723 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 40
18:12:33.261736 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 40
18:12:33.271871 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 41
18:12:33.271884 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 41
18:12:33.282022 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 42
18:12:33.282035 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 42
18:12:33.292172 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 43
18:12:33.292185 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 43
18:12:33.302305 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 44
18:12:33.302318 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 44
18:12:33.312460 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 45
18:12:33.312473 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 45
18:12:33.322610 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 46
18:12:33.322623 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 46
18:12:33.332759 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 47
18:12:33.332770 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 47
18:12:33.342904 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 48
18:12:33.342917 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 48
18:12:33.353061 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 49
18:12:33.353073 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 49
18:12:33.363215 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 50
18:12:33.363230 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 50
18:12:33.373371 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 51
18:12:33.373384 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 51
18:12:33.383520 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 52
18:12:33.383533 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 52
18:12:33.393671 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 53
18:12:33.393683 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 53
18:12:33.403818 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 54
18:12:33.403831 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 54
18:12:33.413976 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 55
18:12:33.413988 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 55
18:12:33.424124 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 56
18:12:33.424137 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 56
18:12:33.434275 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 57
18:12:33.434293 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 57
18:12:33.444427 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 58
18:12:33.444439 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 58
18:12:33.454574 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 59
18:12:33.454588 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 59
18:12:33.464726 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 60
18:12:33.464738 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 60
18:12:33.474880 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 61
18:12:33.474893 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 61
18:12:33.485030 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 62
18:12:33.485043 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 62
18:12:33.495184 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 63
18:12:33.495197 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 63
18:12:33.505333 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 64
18:12:33.505346 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 64
18:12:33.515484 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 65
18:12:33.515496 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 65
18:12:33.525638 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 66
18:12:33.525652 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 66
18:12:33.535796 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 67
18:12:33.535808 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 67
18:12:33.545944 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 68
18:12:33.545957 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 68
18:12:33.556093 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 69
18:12:33.556107 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 69
18:12:33.566238 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 70
18:12:33.566251 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 70
18:12:33.576389 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 71
18:12:33.576402 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 71
18:12:33.586537 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 72
18:12:33.586549 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 72
18:12:33.596693 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 73
18:12:33.596705 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 73
18:12:33.606842 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 74
18:12:33.606857 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 74
18:12:33.616979 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 75
18:12:33.616993 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 75
18:12:33.627112 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 76
18:12:33.627126 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 76
18:12:33.637246 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 77
18:12:33.637259 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 77
18:12:33.647395 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 78
18:12:33.647408 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 78
18:12:33.657545 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 79
18:12:33.657558 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 79
18:12:33.667695 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 80
18:12:33.667709 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 80
18:12:33.677845 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 81
18:12:33.677858 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 81
18:12:33.687997 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 82
18:12:33.688009 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 82
18:12:33.698146 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 83
18:12:33.698159 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 83
18:12:33.708296 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 84
18:12:33.708310 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 84
18:12:33.718442 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 85
18:12:33.718455 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 85
18:12:33.728591 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 86
18:12:33.728604 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 86
18:12:33.738741 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 87
18:12:33.738755 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 87
18:12:33.748891 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 88
18:12:33.748904 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 88
18:12:33.759040 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 89
18:12:33.759053 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 89
18:12:33.769188 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 90
18:12:33.769201 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 90
18:12:33.779339 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 91
18:12:33.779352 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 91
18:12:33.789490 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 92
18:12:33.789504 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 92
18:12:33.799645 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 93
18:12:33.799658 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 93
18:12:33.809797 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 92 , 94
18:12:33.809807 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 93 , 94
