1457893627.02,received , 66 , -0.43853187561, wifi
1457893627.03,received , 66 , -0.434766769409, lte
1457893627.03,received , 67 , -0.43870472908, wifi
1457893627.04,received , 67 , -0.433987140656, lte
1457893627.04,received , 68 , -0.438755989075, wifi
1457893627.05,received , 68 , -0.434992074966, lte
1457893627.05,received , 69 , -0.438848972321, wifi
1457893627.06,received , 69 , -0.435323953629, lte
1457893627.06,received , 70 , -0.439064025879, wifi
1457893627.07,received , 70 , -0.434404850006, lte
1457893627.08,received , 71 , -0.437909841537, wifi
1457893627.08,received , 71 , -0.434579849243, lte
1457893627.09,received , 72 , -0.437283992767, lte
1457893627.09,received , 72 , -0.437577962875, wifi
1457893627.1,received , 73 , -0.438340902328, wifi
1457893627.1,received , 73 , -0.434911966324, lte
1457893627.11,received , 74 , -0.436668872833, lte
1457893627.11,received , 74 , -0.4369597435, wifi
1457893627.12,received , 75 , -0.437566995621, wifi
1457893627.12,received , 75 , -0.434194087982, lte
1457893627.13,received , 76 , -0.437618017197, wifi
1457893627.13,received , 76 , -0.435468912125, lte
1457893627.14,received , 77 , -0.438318014145, wifi
1457893627.14,received , 77 , -0.436879873276, lte
1457893627.15,received , 78 , -0.438645839691, wifi
1457893627.15,received , 78 , -0.434555053711, lte
1457893627.16,received , 79 , -0.438936948776, wifi
1457893627.16,received , 79 , -0.434763908386, lte
1457893627.17,received , 80 , -0.439061880112, wifi
1457893627.17,received , 80 , -0.435054779053, lte
1457893627.18,received , 81 , -0.437493801117, wifi
1457893627.18,received , 81 , -0.434169769287, lte
1457893627.19,received , 82 , -0.437209129333, wifi
1457893627.19,received , 82 , -0.437083005905, lte
1457893627.2,received , 83 , -0.437890052795, wifi
1457893627.2,received , 83 , -0.43445110321, lte
1457893627.21,received , 84 , -0.436698913574, wifi
1457893627.21,received , 84 , -0.436425924301, lte
1457893627.22,received , 85 , -0.43879699707, wifi
1457893627.22,received , 85 , -0.437494039536, lte
1457893627.23,received , 86 , -0.435920000076, lte
1457893627.23,received , 86 , -0.435042858124, wifi
1457893627.24,received , 87 , -0.435293912888, lte
1457893627.24,received , 87 , -0.432177782059, wifi
1457893627.25,received , 88 , -0.437606096268, wifi
1457893627.25,received , 88 , -0.436203956604, lte
1457893627.26,received , 89 , -0.438817024231, wifi
1457893627.26,received , 89 , -0.434621095657, lte
1457893627.27,received , 90 , -0.436115980148, wifi
1457893627.27,received , 90 , -0.432965040207, lte
1457893627.28,received , 91 , -0.435801029205, wifi
1457893627.28,received , 91 , -0.436120033264, lte
1457893627.29,received , 92 , -0.438689947128, wifi
1457893627.29,received , 92 , -0.436832904816, lte
1457893627.3,received , 93 , -0.436217784882, lte
1457893627.3,received , 93 , -0.436563968658, wifi
1457893627.31,received , 94 , -0.439034938812, wifi
1457893627.31,received , 94 , -0.437176942825, lte
1457893627.32,received , 95 , -0.438356876373, wifi
1457893627.32,received , 95 , -0.434390068054, lte
1457893627.33,received , 96 , -0.438819169998, wifi
1457893627.33,received , 96 , -0.437458992004, lte
1457893627.34,received , 97 , -0.438718080521, wifi
1457893627.34,received , 97 , -0.43615603447, lte
1457893627.35,received , 98 , -0.438597917557, wifi
1457893627.35,received , 98 , -0.435420036316, lte
1457893627.36,received , 99 , -0.439204931259, wifi
1457893627.36,received , 99 , -0.43813586235, lte
1457893627.37,received , 100 , -0.43598484993, lte
1457893627.37,received , 100 , -0.435845851898, wifi
1457893627.38,received , 101 , -0.437668800354, lte
1457893627.38,received , 101 , -0.435377836227, wifi
1457893627.39,received , 102 , -0.438812971115, wifi
1457893627.39,received , 102 , -0.435115814209, lte
1457893627.4,received , 103 , -0.43748998642, lte
1457893627.4,received , 103 , -0.437361717224, wifi
1457893627.41,received , 104 , -0.436151027679, lte
1457893627.41,received , 104 , -0.435995101929, wifi
1457893627.42,received , 105 , -0.437685012817, wifi
1457893627.42,received , 105 , -0.435597896576, lte
1457893627.43,received , 106 , -0.438854932785, wifi
1457893627.43,received , 106 , -0.435585021973, lte
1457893627.44,received , 107 , -0.437079906464, lte
1457893627.44,received , 107 , -0.436940908432, wifi
1457893627.45,received , 108 , -0.438806772232, wifi
1457893627.45,received , 108 , -0.435864925385, lte
1457893627.46,received , 109 , -0.438688755035, wifi
1457893627.46,received , 109 , -0.436025857925, lte
1457893627.47,received , 110 , -0.438930034637, wifi
1457893627.47,received , 110 , -0.437764167786, lte
1457893627.48,received , 111 , -0.439064025879, wifi
1457893627.48,received , 111 , -0.436156988144, lte
1457893627.49,received , 112 , -0.438992023468, wifi
1457893627.49,received , 112 , -0.436440944672, lte
1457893627.5,received , 113 , -0.438567876816, wifi
1457893627.5,received , 113 , -0.436642885208, lte
1457893627.51,received , 114 , -0.43675994873, lte
1457893627.51,received , 114 , -0.436211824417, wifi
1457893627.52,received , 115 , -0.438460826874, wifi
1457893627.52,received , 115 , -0.436944961548, lte
1457893627.53,received , 116 , -0.439133882523, wifi
1457893627.53,received , 116 , -0.437938928604, lte
1457893627.54,received , 117 , -0.436967849731, wifi
1457893627.54,received , 117 , -0.437201023102, lte
1457893627.55,received , 118 , -0.438888072968, wifi
1457893627.56,received , 118 , -0.434108018875, lte
1457893627.56,received , 119 , -0.438457965851, wifi
1457893627.56,received , 119 , -0.436115026474, lte
1457893627.57,received , 120 , -0.439023971558, wifi
1457893627.57,received , 120 , -0.436940908432, lte
1457893627.58,received , 121 , -0.437623977661, wifi
1457893627.58,received , 121 , -0.43709897995, lte
1457893627.59,received , 122 , -0.438606023788, wifi
