14:45:09.166172 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
14:45:09.177495 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
14:45:09.188787 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
14:45:09.200028 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
14:45:09.210951 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
14:45:09.221870 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
14:45:09.232906 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
14:45:09.243674 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
14:45:09.254568 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
14:45:09.265554 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
14:45:09.276316 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
14:45:09.287499 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
14:45:09.298562 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
14:45:09.309377 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
14:45:09.320537 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
14:45:09.331488 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
14:45:09.342552 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
14:45:09.354278 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
14:45:09.365453 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
14:45:09.377088 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
14:45:09.388105 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
14:45:09.399325 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
14:45:09.410895 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
14:45:09.422478 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
14:45:09.434316 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
14:45:09.445939 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
14:45:09.457338 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
14:45:09.468692 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
14:45:09.479905 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
14:45:09.491015 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
