1455714221.93,received , 50 , 0.318727016449, lte
1455714221.93,received , 51 , 0.313060045242, lte
1455714221.94,received , 78 , -0.00637602806091, wifi
1455714221.94,received , 52 , 0.308591842651, lte
1455714221.95,received , 79 , -0.0063681602478, wifi
1455714221.95,received , 53 , 0.305984020233, lte
1455714221.96,received , 80 , -0.00636100769043, wifi
1455714221.96,received , 54 , 0.306569099426, lte
1455714221.96,received , 55 , 0.29581785202, lte
1455714221.97,received , 81 , -0.00641298294067, wifi
1455714221.97,received , 56 , 0.292490959167, lte
1455714221.98,received , 57 , 0.287207841873, lte
1455714221.98,received , 82 , -0.00631904602051, wifi
1455714221.99,received , 58 , 0.287477970123, lte
1455714221.99,received , 83 , -0.00636720657349, wifi
1455714222.0,received , 59 , 0.286729812622, lte
1455714222.0,received , 84 , -0.00635504722595, wifi
1455714222.01,received , 60 , 0.285298109055, lte
1455714222.01,received , 61 , 0.27504992485, lte
1455714222.01,received , 85 , -0.00638294219971, wifi
1455714222.03,received , 62 , 0.278610944748, lte
1455714222.03,received , 86 , -0.00641202926636, wifi
1455714222.04,received , 87 , -0.00639390945435, wifi
1455714222.04,received , 63 , 0.284516096115, lte
1455714222.04,received , 64 , 0.271838188171, lte
1455714222.05,received , 65 , 0.261118888855, lte
1455714222.05,received , 88 , -0.00638723373413, wifi
1455714222.05,received , 66 , 0.254304885864, lte
1455714222.06,received , 67 , 0.246506929398, lte
1455714222.06,received , 89 , -0.00638294219971, wifi
1455714222.06,received , 68 , 0.238956928253, lte
1455714222.07,received , 69 , 0.23223400116, lte
1455714222.07,received , 90 , -0.00638794898987, wifi
1455714222.07,received , 70 , 0.225082874298, lte
1455714222.08,received , 71 , 0.217278003693, lte
1455714222.08,received , 91 , -0.0063579082489, wifi
1455714222.08,received , 72 , 0.211344957352, lte
1455714222.09,received , 73 , 0.204851150513, lte
1455714222.09,received , 74 , 0.197911977768, lte
1455714222.09,received , 92 , -0.00639295578003, wifi
1455714222.1,received , 75 , 0.190681934357, lte
1455714222.11,received , 93 , -0.00635695457458, wifi
1455714222.11,received , 76 , 0.189679861069, lte
1455714222.11,received , 77 , 0.183797836304, lte
1455714222.11,received , 78 , 0.173138856888, lte
1455714222.12,received , 94 , -0.00638294219971, wifi
1455714222.12,received , 79 , 0.167681932449, lte
1455714222.13,received , 95 , -0.00640797615051, wifi
1455714222.13,received , 80 , 0.170073986053, lte
1455714222.13,received , 81 , 0.158782720566, lte
1455714222.14,received , 96 , -0.006343126297, wifi
1455714222.14,received , 82 , 0.154892921448, lte
1455714222.15,received , 83 , 0.14795088768, lte
1455714222.15,received , 97 , -0.00642991065979, wifi
1455714222.15,received , 84 , 0.140921115875, lte
1455714222.16,received , 85 , 0.139722824097, lte
1455714222.16,received , 98 , -0.00636601448059, wifi
1455714222.17,received , 86 , 0.133055925369, lte
1455714222.17,received , 87 , 0.128239870071, lte
1455714222.18,received , 99 , -0.00636291503906, wifi
1455714222.18,received , 88 , 0.123645067215, lte
1455714222.19,received , 89 , 0.119534015656, lte
1455714222.19,received , 100 , -0.00633502006531, wifi
1455714222.19,received , 90 , 0.112385034561, lte
1455714222.2,received , 91 , 0.107624053955, lte
1455714222.2,received , 101 , -0.00633311271667, wifi
1455714222.2,received , 92 , 0.0999550819397, lte
1455714222.21,received , 93 , 0.0928149223328, lte
1455714222.21,received , 94 , 0.0880451202393, lte
1455714222.21,received , 102 , -0.00632524490356, wifi
1455714222.22,received , 95 , 0.0826091766357, lte
1455714222.22,received , 103 , -0.00632905960083, wifi
1455714222.23,received , 96 , 0.0837459564209, lte
1455714222.23,received , 97 , 0.0729479789734, lte
1455714222.24,received , 104 , -0.0063579082489, wifi
1455714222.24,received , 98 , 0.0669870376587, lte
1455714222.24,received , 99 , 0.0582070350647, lte
1455714222.24,received , 100 , 0.0453870296478, lte
1455714222.25,received , 105 , -0.00634217262268, wifi
1455714222.25,received , 101 , 0.0432698726654, lte
1455714222.25,received , 102 , 0.0305700302124, lte
1455714222.25,received , 103 , 0.0197088718414, lte
1455714222.25,received , 104 , 0.010614156723, lte
1455714222.26,received , 106 , -0.006343126297, wifi
1455714222.27,received , 105 , 0.0140659809113, lte
1455714222.27,received , 107 , -0.0063202381134, wifi
1455714222.28,received , 106 , 0.0145528316498, lte
1455714222.28,received , 108 , -0.00635313987732, wifi
1455714222.29,received , 107 , 0.0115449428558, lte
1455714222.29,received , 109 , -0.00642490386963, wifi
1455714222.31,received , 110 , -0.00639009475708, wifi
1455714222.32,received , 108 , 0.0275030136108, lte
1455714222.32,received , 111 , -0.00632691383362, wifi
1455714222.32,received , 109 , 0.0209419727325, lte
1455714222.33,received , 112 , -0.00636696815491, wifi
1455714222.33,received , 110 , 0.0222499370575, lte
1455714222.34,received , 111 , 0.0135798454285, lte
1455714222.34,received , 113 , -0.00639009475708, wifi
1455714222.35,received , 114 , -0.00634002685547, wifi
1455714222.36,received , 112 , 0.0229158401489, lte
1455714222.36,received , 115 , -0.00632119178772, wifi
1455714222.37,received , 113 , 0.0184419155121, lte
1455714222.38,received , 116 , -0.0063099861145, wifi
1455714222.39,received , 114 , 0.0258610248566, lte
1455714222.39,received , 117 , -0.00637912750244, wifi
1455714222.39,received , 115 , 0.0171699523926, lte
1455714222.4,received , 116 , 0.0148708820343, lte
1455714222.4,received , 118 , -0.00635099411011, wifi
1455714222.4,received , 117 , 0.00903391838074, lte
1455714222.41,received , 119 , -0.00636005401611, wifi
1455714222.42,received , 118 , 0.0172131061554, lte
1455714222.43,received , 120 , -0.00632691383362, wifi
1455714222.44,received , 121 , -0.00635004043579, wifi
1455714222.44,received , 119 , 0.0251898765564, lte
1455714222.45,received , 122 , -0.0063419342041, wifi
1455714222.46,received , 123 , -0.00638914108276, wifi
1455714222.46,received , 120 , 0.029394865036, lte
1455714222.47,received , 124 , -0.00634098052979, wifi
1455714222.48,received , 125 , -0.0063591003418, wifi
1455714222.49,received , 121 , 0.04541015625, lte
1455714222.5,received , 126 , -0.00639986991882, wifi
1455714222.51,received , 127 , -0.0064001083374, wifi
1455714222.52,received , 128 , -0.00633311271667, wifi
1455714222.53,received , 129 , -0.00636100769043, wifi
1455714222.54,received , 130 , -0.00631594657898, wifi
1455714222.55,received , 131 , -0.0063579082489, wifi
1455714222.57,received , 132 , -0.00643491744995, wifi
1455714222.57,received , 122 , 0.119409799576, lte
1455714222.57,received , 123 , 0.107589960098, lte
1455714222.57,received , 124 , 0.0946090221405, lte
1455714222.57,received , 125 , 0.081845998764, lte
1455714222.57,received , 126 , 0.0716481208801, lte
1455714222.57,received , 127 , 0.0607328414917, lte
1455714222.57,received , 128 , 0.0482380390167, lte
1455714222.57,received , 129 , 0.0367078781128, lte
1455714222.58,received , 133 , -0.006352186203, wifi
1455714222.59,received , 130 , 0.0361828804016, lte
1455714222.59,received , 131 , 0.0296800136566, lte
1455714222.59,received , 134 , -0.00635409355164, wifi
1455714222.6,received , 132 , 0.0228390693665, lte
1455714222.6,received , 133 , 0.0139589309692, lte
1455714222.6,received , 135 , -0.00634622573853, wifi
1455714222.61,received , 134 , 0.0133409500122, lte
1455714222.62,received , 136 , -0.00627112388611, wifi
1455714222.63,received , 137 , -0.00627303123474, wifi
1455714222.64,received , 135 , 0.0286140441895, lte
1455714222.64,received , 138 , -0.00634694099426, wifi
1455714222.65,received , 139 , -0.00633597373962, wifi
1455714222.66,received , 136 , 0.0328240394592, lte
1455714222.66,received , 137 , 0.0256497859955, lte
1455714222.67,received , 140 , -0.00632214546204, wifi
1455714222.67,received , 138 , 0.0227987766266, lte
1455714222.68,received , 141 , -0.00633692741394, wifi
1455714222.69,received , 142 , -0.00638508796692, wifi
1455714222.7,received , 139 , 0.0368051528931, lte
1455714222.7,received , 140 , 0.0240819454193, lte
1455714222.7,received , 143 , -0.00637722015381, wifi
1455714222.71,received , 144 , -0.00634789466858, wifi
1455714222.73,received , 145 , -0.00637817382812, wifi
1455714222.73,received , 141 , 0.0440278053284, lte
1455714222.73,received , 142 , 0.0328180789948, lte
1455714222.73,received , 143 , 0.0202610492706, lte
1455714222.73,received , 144 , 0.0118029117584, lte
1455714222.74,received , 146 , -0.00633311271667, wifi
1455714222.74,received , 145 , 0.00845694541931, lte
1455714222.75,received , 147 , -0.00629997253418, wifi
1455714222.76,received , 148 , -0.00622606277466, wifi
1455714222.77,received , 146 , 0.0236320495605, lte
1455714222.77,received , 149 , -0.00633406639099, wifi
1455714222.78,received , 150 , -0.0063591003418, wifi
1455714222.8,received , 151 , -0.00633811950684, wifi
1455714222.8,received , 147 , 0.0425810813904, lte
1455714222.8,received , 148 , 0.0316970348358, lte
1455714222.8,received , 149 , 0.0231449604034, lte
1455714222.8,received , 150 , 0.0124440193176, lte
1455714222.81,received , 152 , -0.00629711151123, wifi
1455714222.82,received , 153 , -0.00632309913635, wifi
1455714222.83,received , 151 , 0.0247929096222, lte
1455714222.83,received , 154 , -0.00632691383362, wifi
1455714222.84,received , 155 , -0.0062689781189, wifi
1455714222.85,received , 156 , -0.00634908676147, wifi
1455714222.86,received , 152 , 0.0464768409729, lte
1455714222.86,received , 153 , 0.0339279174805, lte
1455714222.86,received , 154 , 0.0230369567871, lte
1455714222.86,received , 155 , 0.0154559612274, lte
1455714222.87,received , 157 , -0.00630807876587, wifi
1455714222.88,received , 156 , 0.013916015625, lte
1455714222.88,received , 158 , -0.00622510910034, wifi
1455714222.89,received , 159 , -0.00635004043579, wifi
1455714222.89,received , 157 , 0.0191669464111, lte
1455714222.9,received , 158 , 0.0176768302917, lte
1455714222.9,received , 160 , -0.00631213188171, wifi
1455714222.91,received , 159 , 0.0117969512939, lte
1455714222.91,received , 161 , -0.00634789466858, wifi
1455714222.92,received , 160 , 0.0154259204865, lte
1455714222.93,received , 162 , -0.00633406639099, wifi
1455714222.94,received , 163 , -0.00632095336914, wifi
1455714222.95,received , 161 , 0.0255258083344, lte
1455714222.95,received , 164 , -0.00633096694946, wifi
1455714222.96,received , 165 , -0.00637221336365, wifi
1455714222.98,received , 166 , -0.00635290145874, wifi
1455714222.99,received , 167 , -0.00635600090027, wifi
1455714222.99,received , 162 , 0.0567419528961, lte
1455714222.99,received , 163 , 0.0448219776154, lte
1455714222.99,received , 164 , 0.0327680110931, lte
1455714223.0,received , 165 , 0.0274379253387, lte
1455714223.0,received , 168 , -0.00637602806091, wifi
1455714223.01,received , 166 , 0.0248119831085, lte
1455714223.01,received , 169 , -0.00632810592651, wifi
1455714223.01,received , 167 , 0.0168180465698, lte
1455714223.02,received , 168 , 0.0113861560822, lte
1455714223.02,received , 170 , -0.00632810592651, wifi
1455714223.03,received , 169 , 0.0150799751282, lte
1455714223.03,received , 171 , -0.00634098052979, wifi
1455714223.05,received , 172 , -0.00570702552795, wifi
1455714223.05,received , 170 , 0.0287389755249, lte
1455714223.06,received , 173 , -0.00640320777893, wifi
1455714223.06,received , 171 , 0.0203719139099, lte
1455714223.07,received , 174 , -0.00636792182922, wifi
1455714223.07,received , 172 , 0.0197248458862, lte
1455714223.08,received , 175 , -0.00642204284668, wifi
1455714223.08,received , 173 , 0.0204300880432, lte
1455714223.09,received , 176 , -0.0063738822937, wifi
1455714223.09,received , 174 , 0.022864818573, lte
1455714223.1,received , 177 , -0.00632786750793, wifi
1455714223.11,received , 175 , 0.0234749317169, lte
1455714223.11,received , 178 , -0.0063259601593, wifi
1455714223.11,received , 176 , 0.0223958492279, lte
1455714223.12,received , 179 , -0.00632500648499, wifi
1455714223.13,received , 177 , 0.019838809967, lte
1455714223.13,received , 180 , -0.00627088546753, wifi
1455714223.13,received , 178 , 0.0193638801575, lte
1455714223.14,received , 179 , 0.015702009201, lte
1455714223.15,received , 181 , -0.00632619857788, wifi
1455714223.15,received , 180 , 0.00834083557129, lte
1455714223.16,received , 182 , -0.00628089904785, wifi
1455714223.17,received , 181 , 0.0167379379272, lte
1455714223.17,received , 183 , -0.00632786750793, wifi
1455714223.18,received , 184 , -0.00631308555603, wifi
1455714223.19,received , 182 , 0.021096944809, lte
1455714223.19,received , 185 , -0.00633406639099, wifi
1455714223.19,received , 183 , 0.0174460411072, lte
1455714223.2,received , 184 , 0.00942182540894, lte
1455714223.21,received , 186 , -0.00633096694946, wifi
1455714223.22,received , 187 , -0.00632095336914, wifi
1455714223.22,received , 185 , 0.0219659805298, lte
1455714223.23,received , 188 , -0.00615406036377, wifi
1455714223.23,received , 186 , 0.0184969902039, lte
1455714223.24,received , 187 , 0.0108778476715, lte
1455714223.24,received , 189 , -0.00629019737244, wifi
1455714223.25,received , 188 , 0.0166299343109, lte
1455714223.25,received , 190 , -0.00635480880737, wifi
1455714223.26,received , 189 , 0.0166959762573, lte
1455714223.27,received , 191 , -0.00637793540955, wifi
1455714223.28,received , 192 , -0.00640821456909, wifi
1455714223.29,received , 190 , 0.0243780612946, lte
1455714223.29,received , 193 , -0.006432056427, wifi
1455714223.29,received , 191 , 0.0202341079712, lte
1455714223.31,received , 194 , -0.00642013549805, wifi
1455714223.31,received , 192 , 0.0232739448547, lte
