18:12:32.786433 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 36
18:12:32.786492 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 36
18:12:32.797176 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 37
18:12:32.797241 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 37
18:12:32.807729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 38
18:12:32.807771 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 38
18:12:32.819053 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 39
18:12:32.819171 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 39
18:12:32.829552 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 40
18:12:32.829652 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 40
18:12:32.840351 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 41
18:12:32.840377 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 41
18:12:32.851989 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 42
18:12:32.852052 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 42
18:12:32.862246 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 43
18:12:32.862413 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 43
18:12:32.872801 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 44
18:12:32.872814 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 44
18:12:32.885254 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 45
18:12:32.885349 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 45
18:12:32.895680 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 46
18:12:32.895787 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 46
18:12:32.907011 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 47
18:12:32.907063 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 47
18:12:32.919655 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 48
18:12:32.919713 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 48
18:12:32.931115 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 49
18:12:32.931235 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 49
18:12:32.942729 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 50
18:12:32.942847 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 50
18:12:32.953445 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 51
18:12:32.953562 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 51
18:12:32.964295 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 52
18:12:32.964473 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 52
18:12:32.976785 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 53
18:12:32.976804 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 53
18:12:32.988115 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 54
18:12:32.988224 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 54
18:12:32.999018 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 55
18:12:32.999994 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 55
18:12:33.009672 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 56
18:12:33.011646 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 56
18:12:33.022452 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 57
18:12:33.022706 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 57
18:12:33.032726 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 58
18:12:33.033018 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 58
18:12:33.043856 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 59
18:12:33.043935 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 59
18:12:33.056731 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 60
18:12:33.056806 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 60
18:12:33.068482 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 61
18:12:33.068506 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 61
18:12:33.079138 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 62
18:12:33.079232 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 62
18:12:33.091421 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 63
18:12:33.091590 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 63
18:12:33.104253 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 64
18:12:33.104304 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 64
18:12:33.114498 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 65
18:12:33.114603 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 65
18:12:33.127324 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 66
18:12:33.127398 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 66
18:12:33.137657 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 67
18:12:33.137777 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 67
18:12:33.148703 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 68
18:12:33.148755 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 68
18:12:33.159590 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 69
18:12:33.159679 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 69
18:12:33.170279 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 70
18:12:33.170367 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 70
18:12:33.180557 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 71
18:12:33.180637 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 71
18:12:33.191320 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 72
18:12:33.191376 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 72
18:12:33.201978 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 73
18:12:33.202012 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 73
18:12:33.212752 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 74
18:12:33.212781 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 74
18:12:33.224417 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 75
18:12:33.224591 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 75
18:12:33.235925 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 76
18:12:33.236022 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 76
18:12:33.246363 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 77
18:12:33.246571 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 77
18:12:33.256634 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 78
18:12:33.256824 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 78
18:12:33.267080 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 79
18:12:33.267111 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 79
18:12:33.277516 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 80
18:12:33.277712 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 80
18:12:33.289517 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 81
18:12:33.290163 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 81
18:12:33.300250 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 82
18:12:33.300742 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 82
18:12:33.312209 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 83
18:12:33.312284 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 83
18:12:33.323183 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 84
18:12:33.323254 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 84
18:12:33.334954 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 85
18:12:33.334995 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 85
18:12:33.346355 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 86
18:12:33.346458 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 86
18:12:33.357022 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 87
18:12:33.357223 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 87
18:12:33.367422 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 88
18:12:33.368793 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 88
18:12:33.380272 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 89
18:12:33.380345 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 89
18:12:33.392520 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 90
18:12:33.392750 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 90
18:12:33.403010 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 91
18:12:33.403343 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 91
18:12:33.413341 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 92
18:12:33.414015 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 92
18:12:33.423771 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 93
18:12:33.426792 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 93
18:12:33.434033 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 94
18:12:33.437720 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 94
18:12:33.444797 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 95
18:12:33.450196 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 95
18:12:33.456485 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 96
18:12:33.461905 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 96
18:12:33.467220 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 493 , 97
18:12:33.472572 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 492 , 97
