16:00:11.791120 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
16:00:11.801859 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
16:00:11.813733 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
16:00:11.824741 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
16:00:11.835532 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
16:00:11.846440 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
16:00:11.857456 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
16:00:11.868242 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
16:00:11.879166 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
16:00:11.890154 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
16:00:11.901130 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
16:00:11.912204 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
16:00:11.923951 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
16:00:11.934677 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
16:00:11.945519 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
16:00:11.956507 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
16:00:11.967301 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
16:00:11.978232 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
16:00:11.989213 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
16:00:12.000008 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
16:00:12.010940 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
16:00:12.022020 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
16:00:12.032928 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
16:00:12.043868 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
16:00:12.054871 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
16:00:12.065697 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
16:00:12.076620 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
16:00:12.087587 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
16:00:12.098422 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
16:00:12.109362 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
16:00:12.120491 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
16:00:12.131318 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
16:00:12.142218 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
16:00:12.153476 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
16:00:12.164543 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
16:00:12.175651 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
16:00:12.186797 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
16:00:12.197785 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
16:00:12.208977 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
16:00:12.220162 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
16:00:12.231155 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
16:00:12.242242 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
16:00:12.253994 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
16:00:12.265013 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
16:00:12.276126 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 45
16:00:12.287081 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 46
16:00:12.298128 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 47
16:00:12.309252 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 48
16:00:12.320434 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 49
