12:47:21.758325 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 36
12:47:21.758340 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 36
12:47:21.768482 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 37
12:47:21.768496 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 37
12:47:21.778642 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 38
12:47:21.778655 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 38
12:47:21.788795 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 39
12:47:21.788809 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 39
12:47:21.798953 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 40
12:47:21.798971 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 40
12:47:21.809107 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 41
12:47:21.809122 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 41
12:47:21.819266 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 42
12:47:21.819280 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 42
12:47:21.829423 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 43
12:47:21.829438 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 43
12:47:21.839580 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 44
12:47:21.839594 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 44
12:47:21.849737 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 45
12:47:21.849751 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 45
12:47:21.859893 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 46
12:47:21.859908 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 46
12:47:21.870055 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 47
12:47:21.870068 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 47
12:47:21.880207 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 48
12:47:21.880223 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 48
12:47:21.890361 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 49
12:47:21.890376 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 49
12:47:21.900519 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 50
12:47:21.900535 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 50
12:47:21.910672 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 51
12:47:21.910687 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 51
12:47:21.920837 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 52
12:47:21.920854 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 52
12:47:21.930995 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 53
12:47:21.931011 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 53
12:47:21.941153 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 54
12:47:21.941168 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 54
