15:12:39.905127 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 35
15:12:39.905143 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 35
15:12:39.915283 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 36
15:12:39.915299 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 36
15:12:39.925439 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 37
15:12:39.925457 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 37
15:12:39.935595 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 38
15:12:39.935612 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 38
15:12:39.945751 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 39
15:12:39.945768 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 39
15:12:39.955907 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 40
15:12:39.955923 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 40
15:12:39.966062 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 41
15:12:39.966079 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 41
15:12:39.976219 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 42
15:12:39.976235 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 42
15:12:39.986374 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 43
15:12:39.986390 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 43
15:12:39.996528 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 44
15:12:39.996545 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 44
15:12:40.006685 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 45
15:12:40.006701 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 45
15:12:40.016840 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 46
15:12:40.016858 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 46
15:12:40.026998 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 47
15:12:40.027015 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 47
15:12:40.037154 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 48
15:12:40.037171 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 48
15:12:40.047311 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 49
15:12:40.047328 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 49
15:12:40.057467 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 50
15:12:40.057483 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 50
15:12:40.067623 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 51
15:12:40.067640 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 51
15:12:40.077777 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 52
15:12:40.077799 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 52
15:12:40.087937 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 53
15:12:40.087954 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 53
15:12:40.098094 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 54
15:12:40.098111 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 54
15:12:40.108251 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 55
15:12:40.108268 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 55
15:12:40.118407 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 56
15:12:40.118424 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 56
15:12:40.128565 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 57
15:12:40.128580 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 57
15:12:40.138720 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 58
15:12:40.138735 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 58
15:12:40.148876 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 59
15:12:40.148893 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 59
15:12:40.159031 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 60
15:12:40.159050 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 60
15:12:40.169188 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 61
15:12:40.169206 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 61
15:12:40.179345 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 62
15:12:40.179361 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 62
15:12:40.189500 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 63
15:12:40.189515 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 63
15:12:40.199656 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 64
15:12:40.199673 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 64
15:12:40.209816 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 65
15:12:40.209833 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 65
15:12:40.219973 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 66
15:12:40.219990 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 66
15:12:40.230130 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 67
15:12:40.230149 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 67
15:12:40.240288 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 68
15:12:40.240304 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 68
15:12:40.250443 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 69
15:12:40.250458 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 69
15:12:40.260602 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 70
15:12:40.260620 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 1433 , 70
15:12:40.270759 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 1432 , 71
