1455704992.0,received , 1 , 0.0921568870544, lte
1455704992.0,received , 2 , 0.0823249816895, lte
1455704992.01,received , 3 , 0.0766890048981, lte
1455704992.01,received , 4 , 0.0667240619659, lte
1455704992.01,received , 5 , 0.0567171573639, lte
1455704992.01,received , 6 , 0.0466740131378, lte
1455704992.01,received , 7 , 0.0366401672363, lte
1455704992.01,received , 8 , 0.0265939235687, lte
1455704992.01,received , 9 , 0.0165460109711, lte
1455704992.01,received , 10 , 0.0132038593292, lte
1455704992.02,received , 11 , 0.00997805595398, lte
1455704992.03,received , 12 , 0.00874710083008, lte
1455704992.04,received , 13 , 0.00833201408386, lte
1455704992.05,received , 14 , 0.00995206832886, lte
1455704992.06,received , 15 , 0.00954389572144, lte
1455704992.06,received , 1 , 0.151999950409, wifi
1455704992.06,received , 2 , 0.144023895264, wifi
1455704992.06,received , 3 , 0.134198904037, wifi
1455704992.06,received , 4 , 0.124304056168, wifi
1455704992.07,received , 5 , 0.114316940308, wifi
1455704992.07,received , 6 , 0.104348182678, wifi
1455704992.07,received , 7 , 0.0966098308563, wifi
1455704992.07,received , 8 , 0.0872008800507, wifi
1455704992.07,received , 9 , 0.0786008834839, wifi
1455704992.07,received , 10 , 0.0686938762665, wifi
1455704992.07,received , 11 , 0.0596539974213, wifi
1455704992.07,received , 12 , 0.0498290061951, wifi
1455704992.07,received , 16 , 0.0112009048462, lte
1455704992.07,received , 13 , 0.0421800613403, wifi
1455704992.07,received , 14 , 0.0322000980377, wifi
1455704992.07,received , 15 , 0.0222268104553, wifi
1455704992.07,received , 16 , 0.0121898651123, wifi
1455704992.07,received , 17 , 0.00213289260864, wifi
1455704992.08,received , 18 , -4.41074371338e-05, wifi
1455704992.08,received , 17 , 0.0100190639496, lte
1455704992.09,received , 18 , 0.00961208343506, lte
1455704992.09,received , 19 , 0.00154709815979, wifi
1455704992.1,received , 19 , 0.00926208496094, lte
1455704992.1,received , 20 , -6.19888305664e-05, wifi
1455704992.11,received , 20 , 0.00885701179504, lte
1455704992.11,received , 21 , 0.000121116638184, wifi
1455704992.12,received , 21 , 0.00848484039307, lte
1455704992.12,received , 22 , -8.20159912109e-05, wifi
1455704992.13,received , 22 , 0.00920391082764, lte
1455704992.13,received , 23 , -0.000193119049072, wifi
1455704992.14,received , 23 , 0.00878596305847, lte
1455704992.14,received , 24 , -0.000149011611938, wifi
1455704992.15,received , 24 , 0.00950789451599, lte
1455704992.15,received , 25 , -0.000160932540894, wifi
1455704992.16,received , 25 , 0.008131980896, lte
1455704992.16,received , 26 , -2.78949737549e-05, wifi
1455704992.17,received , 26 , 0.00977206230164, lte
1455704992.17,received , 27 , 5.50746917725e-05, wifi
1455704992.18,received , 27 , 0.0104629993439, lte
1455704992.19,received , 28 , 0.00684905052185, wifi
1455704992.19,received , 28 , 0.0100650787354, lte
1455704992.2,received , 29 , 0.00653076171875, wifi
1455704992.2,received , 29 , 0.00974082946777, lte
1455704992.21,received , 30 , 0.00655698776245, wifi
1455704992.21,received , 30 , 0.00932693481445, lte
1455704992.21,received , 31 , 4.29153442383e-05, wifi
1455704992.22,received , 31 , 0.00901293754578, lte
1455704992.23,received , 32 , 0.00637102127075, wifi
1455704992.23,received , 32 , 0.0097029209137, lte
1455704992.24,received , 33 , 0.00657105445862, wifi
1455704992.24,received , 33 , 0.00929594039917, lte
1455704992.25,received , 34 , 0.00322413444519, wifi
1455704992.26,received , 34 , 0.0107841491699, lte
1455704992.26,received , 35 , 0.00139808654785, wifi
1455704992.26,received , 35 , 0.00864696502686, lte
1455704992.27,received , 36 , -0.000110149383545, wifi
1455704992.27,received , 36 , 0.00928997993469, lte
1455704992.28,received , 37 , 4.88758087158e-05, wifi
1455704992.28,received , 37 , 0.00887584686279, lte
1455704992.29,received , 38 , 0.00652384757996, wifi
1455704992.29,received , 38 , 0.00854706764221, lte
1455704992.3,received , 39 , 0.0065860748291, wifi
1455704992.31,received , 39 , 0.0102379322052, lte
1455704992.31,received , 40 , 0.00152993202209, wifi
1455704992.32,received , 40 , 0.00985908508301, lte
1455704992.32,received , 41 , 0.00658011436462, wifi
1455704992.33,received , 41 , 0.010509967804, lte
1455704992.33,received , 42 , 0.00646495819092, wifi
1455704992.34,received , 43 , 0.00156903266907, wifi
1455704992.34,received , 42 , 0.0130698680878, lte
1455704992.35,received , 43 , 0.0087308883667, lte
1455704992.35,received , 44 , 0.00652503967285, wifi
1455704992.36,received , 44 , 0.00844693183899, lte
1455704992.36,received , 45 , 6.38961791992e-05, wifi
1455704992.37,received , 45 , 0.0101099014282, lte
1455704992.37,received , 46 , 0.00151896476746, wifi
1455704992.38,received , 46 , 0.00975298881531, lte
1455704992.38,received , 47 , 0.0048611164093, wifi
1455704992.39,received , 47 , 0.0103080272675, lte
1455704992.39,received , 48 , 0.00643706321716, wifi
1455704992.4,received , 48 , 0.00996780395508, lte
1455704992.4,received , 49 , 0.00156998634338, wifi
1455704992.41,received , 49 , 0.00976800918579, lte
1455704992.41,received , 50 , 0.006511926651, wifi
1455704992.42,received , 50 , 0.00938296318054, lte
1455704992.42,received , 51 , 0.0068039894104, wifi
1455704992.43,received , 51 , 0.0100159645081, lte
1455704992.43,received , 52 , 0.00647306442261, wifi
1455704992.44,received , 52 , 0.00865292549133, lte
1455704992.44,received , 53 , 0.00160193443298, wifi
1455704992.45,received , 53 , 0.00829601287842, lte
1455704992.46,received , 54 , 0.00658106803894, wifi
1455704992.46,received , 55 , 1.62124633789e-05, wifi
1455704992.46,received , 54 , 0.0108871459961, lte
1455704992.47,received , 55 , 0.00961399078369, lte
1455704992.47,received , 56 , 0.00151681900024, wifi
1455704992.48,received , 56 , 0.00925183296204, lte
1455704992.48,received , 57 , 8.29696655273e-05, wifi
1455704992.49,received , 57 , 0.00892400741577, lte
1455704992.49,received , 58 , -0.000101089477539, wifi
1455704992.5,received , 58 , 0.0105319023132, lte
1455704992.5,received , 59 , 0.0015070438385, wifi
1455704992.51,received , 59 , 0.00905299186707, lte
1455704992.51,received , 60 , 2.59876251221e-05, wifi
1455704992.52,received , 60 , 0.00881004333496, lte
1455704992.53,received , 61 , 0.00655603408813, wifi
1455704992.53,received , 61 , 0.00848007202148, lte
1455704992.53,received , 62 , 0.00157880783081, wifi
1455704992.54,received , 62 , 0.00919008255005, lte
1455704992.54,received , 63 , 0.00479984283447, wifi
1455704992.55,received , 63 , 0.00973391532898, lte
1455704992.55,received , 64 , -0.000209093093872, wifi
1455704992.56,received , 64 , 0.00945901870728, lte
1455704992.56,received , 65 , 0.00315713882446, wifi
1455704992.57,received , 65 , 0.0100479125977, lte
1455704992.57,received , 66 , 0.00153994560242, wifi
1455704992.58,received , 66 , 0.00974607467651, lte
1455704992.59,received , 67 , 0.00658702850342, wifi
1455704992.59,received , 67 , 0.00837707519531, lte
1455704992.59,received , 68 , 0.00145077705383, wifi
1455704992.6,received , 68 , 0.00902485847473, lte
1455704992.61,received , 69 , 0.00481486320496, wifi
1455704992.61,received , 69 , 0.00874090194702, lte
1455704992.61,received , 70 , 6.29425048828e-05, wifi
1455704992.62,received , 70 , 0.00838685035706, lte
1455704992.62,received , 71 , 0.00316500663757, wifi
1455704992.63,received , 71 , 0.0090160369873, lte
1455704992.63,received , 72 , -6.38961791992e-05, wifi
1455704992.64,received , 73 , -4.10079956055e-05, wifi
1455704992.64,received , 72 , 0.0104529857635, lte
1455704992.65,received , 74 , 0.000268220901489, wifi
1455704992.65,received , 73 , 0.0102851390839, lte
1455704992.66,received , 74 , 0.00892996788025, lte
1455704992.66,received , 75 , 0.00154685974121, wifi
1455704992.67,received , 75 , 0.00860285758972, lte
1455704992.67,received , 76 , -9.89437103271e-05, wifi
1455704992.68,received , 76 , 0.00918483734131, lte
1455704992.68,received , 77 , -0.00022292137146, wifi
1455704992.69,received , 77 , 0.00900292396545, lte
1455704992.69,received , 78 , 6.41345977783e-05, wifi
1455704992.7,received , 78 , 0.00852584838867, lte
1455704992.7,received , 79 , -8.70227813721e-05, wifi
1455704992.71,received , 79 , 0.0103139877319, lte
1455704992.71,received , 80 , 0.00155210494995, wifi
1455704992.72,received , 80 , 0.0089910030365, lte
1455704992.72,received , 81 , -0.000112056732178, wifi
1455704992.73,received , 81 , 0.00862097740173, lte
1455704992.73,received , 82 , -0.000191926956177, wifi
1455704992.74,received , 82 , 0.00929307937622, lte
1455704992.74,received , 83 , 0.00159192085266, wifi
1455704992.75,received , 83 , 0.00978684425354, lte
1455704992.75,received , 84 , 0.00153183937073, wifi
1455704992.76,received , 84 , 0.00862503051758, lte
1455704992.76,received , 85 , 0.00153493881226, wifi
1455704992.77,received , 85 , 0.00823998451233, lte
1455704992.77,received , 86 , -6.79492950439e-05, wifi
1455704992.78,received , 86 , 0.00883293151855, lte
1455704992.78,received , 87 , -2.09808349609e-05, wifi
1455704992.79,received , 87 , 0.00850796699524, lte
1455704992.79,received , 88 , -5.79357147217e-05, wifi
1455704992.8,received , 88 , 0.00820517539978, lte
1455704992.8,received , 89 , -3.71932983398e-05, wifi
1455704992.81,received , 89 , 0.009681224823, lte
1455704992.81,received , 90 , -0.000194072723389, wifi
1455704992.82,received , 90 , 0.00953197479248, lte
1455704992.82,received , 91 , -0.00015115737915, wifi
1455704992.83,received , 91 , 0.00911283493042, lte
1455704992.83,received , 92 , -6.89029693604e-05, wifi
1455704992.84,received , 93 , -0.000151872634888, wifi
1455704992.85,received , 92 , 0.0107278823853, lte
1455704992.85,received , 93 , 0.00946688652039, lte
1455704992.86,received , 94 , 0.000982999801636, wifi
1455704992.86,received , 94 , 0.00914192199707, lte
1455704992.87,received , 95 , 0.000274181365967, wifi
1455704992.87,received , 95 , 0.00976514816284, lte
1455704992.87,received , 96 , -0.000163078308105, wifi
1455704992.88,received , 96 , 0.00928521156311, lte
1455704992.88,received , 97 , -0.000107049942017, wifi
1455704992.9,received , 97 , 0.0100128650665, lte
1455704992.9,received , 98 , 0.00463891029358, wifi
1455704992.9,received , 98 , 0.00873994827271, lte
1455704992.91,received , 99 , 0.00158286094666, wifi
1455704992.92,received , 99 , 0.0103240013123, lte
1455704992.92,received , 100 , 0.00309300422668, wifi
1455704992.93,received , 101 , -2.69412994385e-05, wifi
1455704992.93,received , 100 , 0.00999593734741, lte
1455704992.93,received , 101 , 0.00854110717773, lte
1455704992.94,received , 102 , -7.9870223999e-05, wifi
1455704992.95,received , 102 , 0.00935912132263, lte
1455704992.95,received , 103 , 0.00164079666138, wifi
1455704992.96,received , 103 , 0.0108120441437, lte
1455704992.96,received , 104 , 0.00317597389221, wifi
1455704992.97,received , 104 , 0.010410785675, lte
1455704992.97,received , 105 , 0.00484704971313, wifi
1455704992.98,received , 105 , 0.00923585891724, lte
1455704992.98,received , 106 , -7.79628753662e-05, wifi
1455704992.99,received , 106 , 0.00886607170105, lte
1455704992.99,received , 107 , 0.00648808479309, wifi
1455704993.0,received , 107 , 0.00956392288208, lte
1455704993.0,received , 108 , 0.00650310516357, wifi
1455704993.0,received , 108 , 0.008131980896, lte
1455704993.01,received , 109 , 6.91413879395e-05, wifi
1455704993.02,received , 109 , 0.00967597961426, lte
1455704993.02,received , 110 , 0.00647783279419, wifi
1455704993.03,received , 110 , 0.00946378707886, lte
1455704993.03,received , 111 , 0.00646781921387, wifi
1455704993.04,received , 111 , 0.0100958347321, lte
1455704993.04,received , 112 , 0.00649094581604, wifi
1455704993.05,received , 112 , 0.00867390632629, lte
1455704993.05,received , 113 , 0.00485396385193, wifi
1455704993.06,received , 113 , 0.00842499732971, lte
1455704993.06,received , 114 , 0.00642204284668, wifi
1455704993.07,received , 114 , 0.00990509986877, lte
1455704993.07,received , 115 , 0.00486493110657, wifi
1455704993.08,received , 115 , 0.00874900817871, lte
1455704993.08,received , 116 , 0.00471806526184, wifi
1455704993.09,received , 116 , 0.00837397575378, lte
1455704993.09,received , 117 , 0.00653100013733, wifi
