05:38:20.911069 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 1
05:38:20.913284 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 1
05:38:20.922019 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 2
05:38:20.923577 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 2
05:38:20.933023 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 3
05:38:20.934719 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 3
05:38:20.943524 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 4
05:38:20.945112 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 4
05:38:20.956336 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 5
05:38:20.956673 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 5
05:38:20.968079 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 6
05:38:20.968196 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 6
05:38:20.978594 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 7
05:38:20.978737 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 7
05:38:20.989642 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 8
05:38:20.989764 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 8
05:38:21.002557 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 9
05:38:21.002650 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 9
05:38:21.013371 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 10
05:38:21.013493 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 10
05:38:21.023724 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 11
05:38:21.023824 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 11
05:38:21.036591 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 12
05:38:21.036708 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 12
05:38:21.047366 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 13
05:38:21.047509 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 13
05:38:21.060211 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 14
05:38:21.060298 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 14
05:38:21.072027 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 15
05:38:21.072076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 15
05:38:21.082408 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 16
05:38:21.082530 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 16
05:38:21.093127 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 17
05:38:21.093251 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 17
05:38:21.105047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 18
05:38:21.105157 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 18
05:38:21.115529 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 19
05:38:21.115627 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 19
05:38:21.126514 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 20
05:38:21.126643 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 20
05:38:21.136892 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 21
05:38:21.139125 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 21
05:38:21.147386 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 22
05:38:21.152010 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 22
05:38:21.160185 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 23
05:38:21.164506 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 23
05:38:21.170409 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 24
05:38:21.175076 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 24
05:38:21.181365 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 25
05:38:21.185656 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 25
05:38:21.194091 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 26
05:38:21.196361 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 26
05:38:21.206938 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 27
05:38:21.207027 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 27
05:38:21.217938 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 28
05:38:21.218047 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 28
05:38:21.228346 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 29
05:38:21.228370 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 29
05:38:21.240126 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 30
05:38:21.240215 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 30
05:38:21.250561 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 31
05:38:21.250709 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 31
05:38:21.261674 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 32
05:38:21.261828 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 32
05:38:21.274435 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 33
05:38:21.274485 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 33
05:38:21.285914 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 34
05:38:21.286783 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 34
05:38:21.296347 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 35
05:38:21.299303 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 35
05:38:21.306881 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 36
05:38:21.309902 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 36
05:38:21.319557 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 37
05:38:21.321266 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 37
05:38:21.329945 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 38
05:38:21.333722 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 38
05:38:21.341239 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 39
05:38:21.344391 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 39
05:38:21.351658 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 40
05:38:21.354626 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 40
05:38:21.363308 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 41
05:38:21.365328 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 41
05:38:21.374491 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 42
05:38:21.376585 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 42
05:38:21.385165 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 43
05:38:21.388612 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 43
05:38:21.396099 , IP , wifi , > , 134.226.40.138.60000: , UDP, , length , 1433 , 44
05:38:21.399871 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 1432 , 44
