18:08:14.725945 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 32
18:08:14.736025 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 33
18:08:14.736069 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 33
18:08:14.746165 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 34
18:08:14.746192 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 34
18:08:14.756307 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 35
18:08:14.756324 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 35
18:08:14.766461 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 36
18:08:14.766477 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 36
18:08:14.776617 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 37
18:08:14.776633 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 37
18:08:14.786773 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 38
18:08:14.786788 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 38
18:08:14.796929 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 39
18:08:14.796946 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 39
18:08:14.807084 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 40
18:08:14.807100 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 40
18:08:14.817239 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 41
18:08:14.817254 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 41
18:08:14.827395 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 42
18:08:14.827410 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 42
18:08:14.837551 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 43
18:08:14.837566 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 43
18:08:14.847706 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 44
18:08:14.847721 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 44
18:08:14.857861 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 45
18:08:14.857874 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 45
18:08:14.868020 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 46
18:08:14.868035 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 46
18:08:14.878179 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 47
18:08:14.878195 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 47
18:08:14.888341 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 48
18:08:14.888354 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 48
18:08:14.898499 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 49
18:08:14.898517 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 49
18:08:14.908656 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 50
18:08:14.908673 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 50
18:08:14.918813 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 51
18:08:14.918829 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 51
18:08:14.928974 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 52
18:08:14.928988 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 52
18:08:14.939126 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 53
18:08:14.939142 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 53
18:08:14.949283 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 54
18:08:14.949298 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 54
18:08:14.959443 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 55
18:08:14.959457 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 55
18:08:14.969603 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 56
18:08:14.969616 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 56
18:08:14.979760 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 57
18:08:14.979775 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 57
18:08:14.989898 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 58
18:08:14.989913 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 58
18:08:15.000058 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 59
18:08:15.000072 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 59
18:08:15.010217 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 60
18:08:15.010232 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 60
18:08:15.020377 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 61
18:08:15.020391 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 61
18:08:15.030532 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 62
18:08:15.030547 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 62
18:08:15.040688 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 63
18:08:15.040703 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 63
18:08:15.050844 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 64
18:08:15.050859 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 64
18:08:15.061000 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 65
18:08:15.061014 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 65
18:08:15.071158 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 66
18:08:15.071173 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 66
18:08:15.081299 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 67
18:08:15.081316 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 67
18:08:15.091459 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 68
18:08:15.091478 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 68
18:08:15.101597 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 69
18:08:15.101613 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 69
18:08:15.111736 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 70
18:08:15.111752 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 70
18:08:15.121879 , IP , lily.scss.tcd.ie.60000 , > , wifi , UDP, , length , 1433 , 71
18:08:15.121902 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 71
18:08:15.132054 , IP , lily.scss.tcd.ie.60000 , > , lte , UDP, , length , 1432 , 72
