14:56:09.043196 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 1
14:56:09.054623 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 2
14:56:09.066185 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 3
14:56:09.077169 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 4
14:56:09.088185 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 5
14:56:09.099107 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 6
14:56:09.110146 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 7
14:56:09.121147 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 8
14:56:09.132200 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 9
14:56:09.143131 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 10
14:56:09.154214 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 11
14:56:09.165411 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 12
14:56:09.176637 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 13
14:56:09.187848 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 14
14:56:09.200228 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 15
14:56:09.211432 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 16
14:56:09.222704 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 17
14:56:09.233807 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 18
14:56:09.244998 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 19
14:56:09.256279 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 20
14:56:09.267038 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 21
14:56:09.278232 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 22
14:56:09.290357 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 23
14:56:09.301575 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 24
14:56:09.312759 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 25
14:56:09.323695 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 26
14:56:09.334747 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 27
14:56:09.345931 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 28
14:56:09.356916 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 29
14:56:09.367971 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 30
14:56:09.378910 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 31
14:56:09.390875 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 32
14:56:09.401850 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 33
14:56:09.412800 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 34
14:56:09.423795 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 35
14:56:09.434562 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 36
14:56:09.447273 , IP , lte , > , 134.226.40.138.60000: , UDP, , length , 792 , 37
